"","Sector","URN","Places","Local.authority","Organisation","Organisation_fame_search","Company.name","Join","Leave","Registered.number"
"1","Local Authority","SC059853",6,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"2","Voluntary","SC008596",8,"STOCKPORT",NA,NA,NA,NA,"2016-07-13",NA
"3","Local Authority","SC040982",5,"WIGAN","Wigan Council","Wigan Council",NA,NA,NA,NA
"4","Private","SC480161",6,"TAMESIDE","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED","2014-09-10",NA,"08885676"
"5","Local Authority","SC051856",4,"WIGAN","Wigan Council","Wigan Council",NA,NA,NA,NA
"6","Private","SC062263",1,"ROCHDALE","Time-Out Children's Homes Limited","Time-Out childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"7","Local Authority","SC034108",6,"TAMESIDE","Tameside Mbc","Tameside Mbc",NA,NA,NA,NA
"8","Local Authority","SC040719",3,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"9","Local Authority","SC369857",5,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"10","Local Authority","SC041018",6,"WIGAN",NA,NA,NA,NA,"2016-07-31",NA
"11","Private","SC387148",5,"TRAFFORD","Fairfield Residential Ltd","Fairfield Residential Ltd","FAIRFIELD RESIDENTIAL LIMITED",NA,NA,"06677877"
"12","Voluntary","SC025739",4,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"13","Private","SC067238",5,"STOCKPORT",NA,NA,NA,NA,"2017-06-30",NA
"14","Local Authority","SC059842",5,"BOLTON","Bolton Metropolitan Borough Council","Bolton Metropolitan Borough Council",NA,NA,NA,NA
"15","Local Authority","SC032475",5,"TRAFFORD","Trafford Borough Council","Trafford Borough Council",NA,NA,NA,NA
"16","Local Authority","SC040266",5,"WIGAN","Wigan Council","Wigan Council",NA,NA,NA,NA
"17","Private","SC456857",1,"ROCHDALE","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"18","Private","SC479654",6,"ROCHDALE","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED","2014-09-05",NA,"08885676"
"19","Private","SC356864",2,"BURY","Time-Out Childrens Homes Limited","Time-Out Childrens Homes Limited","TIMEOUT CHILDRENS HOMES LIMITED",NA,NA,"05033530"
"20","Private","SC389823",5,"BOLTON","Courtyard Care Limited","Courtyard Care Limited","COURTYARD CARE LIMITED",NA,NA,"04945227"
"21","Private","SC021677",4,"MANCHESTER","The Partnership of Care Today Children's Services","Care Today Childrens Services childrens Services",NA,NA,NA,NA
"22","Local Authority","SC040926",6,"WIGAN","Wigan Council","Wigan Council",NA,NA,NA,NA
"23","Private","SC389649",3,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,"2020-12-20","04280519"
"24","Private","SC411825",2,"WIGAN","Inspire Childrens Services Limited","Inspire Childrens Services Limited","INSPIRE CHILDRENS SERVICES LIMITED",NA,NA,"06968122"
"25","Private","SC008488",8,"STOCKPORT","Halliwell Homes Limited","Halliwell Homes Limited","HALLIWELL HOMES LIMITED",NA,NA,"03681826"
"26","Local Authority","SC066549",2,"TRAFFORD",NA,NA,NA,NA,"2016-04-30",NA
"27","Local Authority","SC360599",4,"BLACKBURN WITH DARWEN","Blackburn with Darwen Borough Council","Blackburn with Darwen Borough Council",NA,NA,"2022-09-22",NA
"28","Private","SC451174",2,"MANCHESTER","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"29","Private","SC005751",1,"WIGAN","Doncaster Deaf Trust","Doncaster Deaf Trust","DONCASTER DEAF TRUST",NA,NA,"04105045"
"30","Private","SC035657",7,"OLDHAM","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED",NA,NA,"04280519"
"31","Voluntary","SC025714",5,"STOCKPORT","The Together Trust","The Together Trust","THE TOGETHER TRUST",NA,NA,"00301722"
"32","Local Authority","SC035492",5,"OLDHAM","Oldham Metropolitan Borough Council","Oldham Metropolitan Borough Council",NA,NA,NA,NA
"33","Private","SC394463",3,"STOCKPORT","Cornerstone Children's Homes Limited","Cornerstone childrens Homes Limited","CORNERSTONE CHILDREN'S HOMES LIMITED",NA,NA,"06681557"
"34","Private","SC387672",5,"MANCHESTER",NA,NA,NA,NA,"2016-11-30",NA
