Sector,URN,Places,Local.authority,Organisation,Organisation_fame_search,Company.name,Join,Leave,Registered.number
Local Authority,SC059853,6,BOLTON,Bolton Metropolitan Borough Council,Bolton Metropolitan Borough Council,NA,NA,NA,NA
Local Authority,SC040982,5,WIGAN,Wigan Council,Wigan Council,NA,NA,NA,NA
Private,SC480161,6,TAMESIDE,Hexagon Care Services Limited,Hexagon Care Services Limited,HEXAGON CARE SERVICES LIMITED,2014-09-10,NA,08885676
Local Authority,SC051856,4,WIGAN,Wigan Council,Wigan Council,NA,NA,NA,NA
Private,SC062263,1,ROCHDALE,Time-Out Children's Homes Limited,Time-Out childrens Homes Limited,TIMEOUT CHILDRENS HOMES LIMITED,NA,NA,05033530
Local Authority,SC034108,6,TAMESIDE,Tameside Mbc,Tameside Mbc,NA,NA,NA,NA
Local Authority,SC040719,3,BOLTON,Bolton Metropolitan Borough Council,Bolton Metropolitan Borough Council,NA,NA,NA,NA
Local Authority,SC369857,5,BOLTON,Bolton Metropolitan Borough Council,Bolton Metropolitan Borough Council,NA,NA,NA,NA
Private,SC387148,5,TRAFFORD,Fairfield Residential Ltd,Fairfield Residential Ltd,FAIRFIELD RESIDENTIAL LIMITED,NA,NA,06677877
Voluntary,SC025739,4,STOCKPORT,The Together Trust,The Together Trust,THE TOGETHER TRUST,NA,NA,00301722
Local Authority,SC059842,5,BOLTON,Bolton Metropolitan Borough Council,Bolton Metropolitan Borough Council,NA,NA,NA,NA
Local Authority,SC032475,5,TRAFFORD,Trafford Borough Council,Trafford Borough Council,NA,NA,NA,NA
Local Authority,SC040266,5,WIGAN,Wigan Council,Wigan Council,NA,NA,NA,NA
Private,SC456857,1,ROCHDALE,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Private,SC479654,6,ROCHDALE,Hexagon Care Services Limited,Hexagon Care Services Limited,HEXAGON CARE SERVICES LIMITED,2014-09-05,NA,08885676
Private,SC356864,2,BURY,Time-Out Childrens Homes Limited,Time-Out Childrens Homes Limited,TIMEOUT CHILDRENS HOMES LIMITED,NA,NA,05033530
Private,SC389823,5,BOLTON,Courtyard Care Limited,Courtyard Care Limited,COURTYARD CARE LIMITED,NA,NA,04945227
Private,SC021677,4,MANCHESTER,The Partnership of Care Today Children's Services,Care Today Childrens Services childrens Services,NA,NA,NA,NA
Local Authority,SC040926,6,WIGAN,Wigan Council,Wigan Council,NA,NA,NA,NA
Private,SC411825,2,WIGAN,Inspire Childrens Services Limited,Inspire Childrens Services Limited,INSPIRE CHILDRENS SERVICES LIMITED,NA,NA,06968122
Private,SC008488,8,STOCKPORT,Halliwell Homes Limited,Halliwell Homes Limited,HALLIWELL HOMES LIMITED,NA,NA,03681826
Local Authority,SC065067,5,SALFORD,Salford City Council,Salford City Council,NA,NA,NA,NA
Private,SC451174,2,MANCHESTER,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Private,SC005751,1,WIGAN,Doncaster Deaf Trust,Doncaster Deaf Trust,DONCASTER DEAF TRUST,NA,NA,04105045
Private,SC035657,7,OLDHAM,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Voluntary,SC025714,5,STOCKPORT,The Together Trust,The Together Trust,THE TOGETHER TRUST,NA,NA,00301722
Local Authority,SC035492,5,OLDHAM,Oldham Metropolitan Borough Council,Oldham Metropolitan Borough Council,NA,NA,NA,NA
Local Authority,SC394283,5,SALFORD,Salford City Council,Salford City Council,NA,NA,NA,NA
Private,SC394463,3,STOCKPORT,Cornerstone Children's Homes Limited,Cornerstone childrens Homes Limited,CORNERSTONE CHILDREN'S HOMES LIMITED,NA,NA,06681557
Private,SC477939,2,ROCHDALE,Meadows Care Ltd,Meadows Care Ltd,MEADOWS CARE LIMITED,2014-06-03,NA,05087886
Private,SC008487,6,STOCKPORT,The Partnership of Care Today Children's Services,Care Today Childrens Services childrens Services,NA,NA,NA,NA
Private,SC446325,2,MANCHESTER,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Private,SC021683,4,MANCHESTER,The Partnership of Care Today Children's Services,Care Today Childrens Services childrens Services,NA,NA,NA,NA
Voluntary,SC035518,28,STOCKPORT,Sea Shell Trust Limited,Sea Shell Trust Limited,SEASHELL TRUST,NA,NA,04216714
Private,SC479647,6,WIGAN,Hexagon Care Services Limited,Hexagon Care Services Limited,HEXAGON CARE SERVICES LIMITED,2014-10-08,NA,08885676
Private,SC456542,1,ROCHDALE,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Private,SC043972,5,MANCHESTER,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Private,SC066072,3,OLDHAM,Meadows Care Ltd,Meadows Care Ltd,MEADOWS CARE LIMITED,NA,NA,05087886
Private,SC456532,2,ROCHDALE,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Voluntary,SC413985,4,SALFORD,The Together Trust,The Together Trust,THE TOGETHER TRUST,NA,NA,00301722
Private,SC400355,3,STOCKPORT,Social Care Services (clayton) Limited,Social Care Services (clayton) Limited,SOCIAL CARE SERVICES (CLAYTON) LIMITED,NA,NA,04460745
Private,SC430239,5,TAMESIDE,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,NA,NA,04280519
Private,SC420388,4,BURY,Alliance Care & Education Limited,Alliance Care & Education Limited,KEYS ACE LIMITED,NA,NA,05556312
Private,SC396104,6,TAMESIDE,Full Circle Care,Full Circle Care,FULL CIRCLE CARE LTD,NA,NA,06610632
