Country_code,Country_name,Region_code,Region_name,LA_code (9 digit),LA_name,LA_code (3 digit),A1_FTE_ChildrensSocialWorkers_2015,CiNperCSW_FTE_2015,B1_FTE_Starters_2015,B2_FTE_Leavers_2015,B3_FTE_TurnoverRate_2015,D1_FTE_AgencyWorkers_2015,D1a_FTE_AgencyWorkers_2015,D2_FTE_AgencyWorkerRate_2015,A2_FTE_Vacancies_2015,A3_FTE_VacancyRate_2015,C1_FTE_Absence_2015,C2_FTE_AbsenceRate_2015,A1a_FTE_Number_ChildrensSocialWorkers_Age_data not available_2015,A1aa_FTE_Number_ChildrensSocialWorkers_Age_2015,A1ab_FTE_Number_ChildrensSocialWorkers_Age_2015,A1ac_FTE_Number_ChildrensSocialWorkers_Age_2015,A1ad_FTE_Number_ChildrensSocialWorkers_Age_2015,A1ae_FTE_Number_ChildrensSocialWorkers_Age_2015,A1aa_FTE_Percentage_ChildrensSocialWorkers_Age_2015,A1ab_FTE_Percentage_ChildrensSocialWorkers_Age_2015,A1ac_FTE_Percentage_ChildrensSocialWorkers_Age_2015,A1ad_FTE_Percentage_ChildrensSocialWorkers_Age_2015,A1ae_FTE_Percentage_ ChildrensSocialWorkers_Age_2015,A1b_FTE_Number_ChildrensSocialWorkers_Time in service_data not available_2015,A1ba_FTE_Number_ChildrensSocialWorkers_Time in service_2015,A1bb_FTE_Number_ChildrensSocialWorkers_Time in service_2015,A1bc_FTE_Number_ChildrensSocialWorkers_Time in service_2015,A1bd_FTE_Number_ChildrensSocialWorkers_Time in service_2015,A1be_FTE_Number_ChildrensSocialWorkers_Time in service_2015,A1bf_FTE_Number_ChildrensSocialWorkers_Time in Service_2015,A1ba_FTE_Percentage_ChildrensSocialWorkers_Time in service_2015,A1bb_FTE_Percentage_ChildrensSocialWorkers_Time in service_2015,A1bc_FTE_Percentage_ChildrensSocialWorkers_Time in service_2015,A1bd_FTE_Percentage_ChildrensSocialWorkers_Time in service_2015,A1be_FTE_Percentage_ChildrensSocialWorkers_Time in service_2015,A1bf_FTE_Percentage_ChildrensSocialWorkers_Time in Service_2015,A1_Headcount_ChildrensSocialWorkers_2015,CiNperCSW_Headcount_2015,B1_Headcount_Starters_2015,B2_Headcount_Leavers_2015,B3_Headcount_TurnoverRate_2015,D1_Headcount_AgencyWorkers_2015,D1a_Headcount_AgencyWorkers_2015,D2_Headcount_AgencyWorkerRate_2015,A1a_Headcount_Number_ChildrensSocialWorkers_Age_data not available_2015,A1aa_Headcount_Number_ChildrensSocialWorkers_Age_2015,A1ab_Headcount_Number_ChildrensSocialWorkers_Age_2015,A1ac_Headcount_Number_ChildrensSocialWorkers_Age_2015,A1ad_Headcount_Number_ChildrensSocialWorkers_Age_2015,A1ae_Headcount_Number_ChildrensSocialWorkers_Age_2015,A1aa_Headcount_Percentage_ChildrensSocialWorkers_Age_2015,A1ab_Headcount_Percentage_ChildrensSocialWorkers_Age_2015,A1ac_Headcount_Percentage_ChildrensSocialWorkers_Age_2015,A1ad_Headcount_Percentage_ChildrensSocialWorkers_Age_2015,A1ae_Headcount_Percentage_ ChildrensSocialWorkers_Age_2015,A1b_Headcount_Number_ChildrensSocialWorkers_Time in service_data not available_2015,A1ba_Headcount_Number_ChildrensSocialWorkers_Time in service_2015,A1bb_Headcount_Number_ChildrensSocialWorkers_Time in service_2015,A1bc_Headcount_Number_ChildrensSocialWorkers_Time in service_2015,A1bd_Headcount_Number_ChildrensSocialWorkers_Time in service_2015,A1be_Headcount_Number_ChildrensSocialWorkers_Time in service_2015,A1bf_Headcount_Number_ChildrensSocialWorkers_Time in Service_2015,A1ba_Headcount_Percentage_ChildrensSocialWorkers_Time in service_2015,A1bb_Headcount_Percentage_ChildrensSocialWorkers_Time in service_2015,A1bc_Headcount_Percentage_ChildrensSocialWorkers_Time in service_2015,A1bd_Headcount_Percentage_ChildrensSocialWorkers_Time in service_2015,A1be_Headcount_Percentage_ChildrensSocialWorkers_Time in service_2015,A1bf_Headcount_Percentage_ChildrensSocialWorkers_Time in Service_2015
E92000001,England,,,,,,26500,15,4440,4200,16,4860,3850,16,5470,17,236760,4,250,4250,7500,6790,6340,1360,16,28,26,24,5,260,7430,5280,5490,5650,1820,570,28,20,21,21,7,2,28570,14,4640,4560,16,5070,4010,15,30,4390,8250,7410,6850,1640,15,29,26,24,6,40,7820,5670,6090,6270,2030,650,27,20,21,22,7,2
E92000001,England,E12000001,North East,,,,1680,14,220,210,13,190,170,10,150,8,18300,4,0,270,470,430,410,100,16,28,26,24,6,0,380,360,400,360,130,50,23,22,24,21,8,3,1800,13,230,220,12,190,170,10,0,280,520,460,440,110,15,29,25,24,6,0,390,380,440,400,150,50,22,21,24,22,8,3
E92000001,England,E12000002,North West,,,,3580,16,660,530,15,410,280,10,480,12,37530,4,0,610,1070,910,830,150,17,30,26,23,4,0,1010,700,770,720,250,130,28,19,21,20,7,4,3790,15,680,570,15,420,280,10,0,620,1150,960,890,180,16,30,25,23,5,0,1030,730,830,780,280,140,27,19,22,20,7,4
E92000001,England,E12000003,Yorkshire and the Humber,,,,3350,12,440,390,12,230,160,6,260,7,29310,3,0,580,890,930,810,140,17,27,28,24,4,0,760,570,710,950,270,90,23,17,21,28,8,3,3630,11,470,420,11,240,170,6,0,600,990,1000,880,170,16,27,28,24,5,0,800,620,780,1030,300,100,22,17,22,28,8,3
E92000001,England,E12000004,East Midlands,,,,1740,15,290,280,16,440,340,20,510,23,17440,4,0,300,480,470,420,80,17,27,27,24,4,0,480,370,340,370,120,60,28,21,20,21,7,3,1920,14,310,330,17,450,340,19,0,320,530,510,450,110,17,28,27,23,6,0,510,410,380,420,130,70,27,21,20,22,7,4
E92000001,England,E12000005,West Midlands,,,,2980,16,480,480,16,550,460,16,660,18,34520,5,0,510,830,810,690,150,17,28,27,23,5,0,800,600,630,660,230,60,27,20,21,22,8,2,3250,14,500,520,16,610,510,16,0,520,910,890,750,180,16,28,27,23,6,0,830,650,700,740,270,80,25,20,21,23,8,2
E92000001,England,E12000006,East,,,,2480,15,390,350,14,390,320,14,500,17,18510,3,0,440,730,640,560,110,18,29,26,23,5,0,710,600,510,520,130,20,28,24,20,21,5,1,2670,14,400,380,14,420,340,14,0,440,800,700,590,130,17,30,26,22,5,0,730,630,560,580,140,30,27,24,21,22,5,1
E92000001,England,E12000007,London,,,,4470,16,920,930,21,1450,1200,25,1480,25,27770,2,220,610,1370,1040,990,240,14,31,23,22,5,220,1550,810,820,800,210,50,35,18,18,18,5,1,4700,15,930,970,21,1490,1230,24,0,640,1500,1180,1100,280,14,32,25,23,6,0,1690,870,920,910,240,60,36,19,20,19,5,1
E92000001,England,E13000001,Inner London,,,,2270,14,370,410,18,520,410,19,590,21,14470,3,220,290,680,520,470,90,13,30,23,21,4,220,640,400,450,410,110,30,28,17,20,18,5,2,2390,13,380,430,18,560,430,19,0,320,780,620,550,130,13,33,26,23,5,0,750,450,530,490,130,40,31,19,22,20,6,2
E92000001,England,E13000002,Outer London,,,,2200,18,550,510,23,930,790,30,890,29,13300,2,0,320,690,530,520,140,15,31,24,24,7,0,910,410,370,390,100,20,41,19,17,18,4,1,2300,17,550,530,23,940,790,29,0,320,720,560,550,150,14,31,24,24,7,0,940,430,390,420,110,20,41,19,17,18,5,1
E92000001,England,E12000008,South East,,,,3790,14,610,620,16,750,620,16,900,19,30890,3,0,620,1020,950,980,220,16,27,25,26,6,0,1090,760,870,750,260,70,29,20,23,20,7,2,4130,13,640,680,16,770,630,16,0,640,1130,1050,1050,270,15,27,25,25,6,0,1130,820,960,840,290,80,27,20,23,20,7,2
E92000001,England,E12000009,South West,,,,2430,16,430,410,17,440,310,15,530,18,22480,4,30,330,650,600,650,180,14,27,25,27,7,40,650,510,450,530,200,40,27,21,19,22,8,2,2690,14,490,490,18,470,340,15,30,340,730,660,710,220,13,27,25,26,8,40,700,560,520,600,230,50,26,21,19,22,9,2
E92000001,England,E12000001,North East,E06000005,Darlington,841,71.8,12,22.9,13.6,19,10,10,12,10,12,450,2,0,x,20.1,23.6,14.5,x,x,28,33,20,x,0,29.7,17.4,16.7,8,0,0,41,24,23,11,0,0,77,11,24,14,18,10,10,11,0,x,22,25,15,x,x,29,32,19,x,0,32,19,18,8,0,0,42,25,23,10,0,0
E92000001,England,E12000001,North East,E06000047,Durham,840,239.2,16,17.5,23.4,10,32,32,12,33,12,3640,6,0,33.4,61.1,61.6,62,21.2,14,26,26,26,9,0,45.1,45.5,56.8,57,24.9,9.8,19,19,24,24,10,4,270,14,19,25,9,32,32,11,0,34,70,72,69,25,13,26,27,26,9,0,48,50,64,68,29,11,18,19,24,25,11,4
