,Sector_merge,Company.name,URN,Registered.number,Reason,Correct_category,comment
5,Corporate owned,ACORN HOMES (U.K.) LIMITED,1278087,03218525,incorrect fame match (ACORN HOMES (UK) vs ACORN HOMES (U.K.),Investment owned,owned by Lighthouse Capital Investments Limited; so would be coded as investment owned if the shareholder info returned correctly. Corporate probably fine
17,Corporate owned,ACORN HOMES (U.K.) LIMITED,SC469396,03218525,incorrect fame match (ACORN HOMES (UK) vs ACORN HOMES (U.K.),Investment owned,owned by Lighthouse Capital Investments Limited; so would be coded as investment owned if the shareholder info returned correctly. Corporate probably fine
25,Corporate owned,ACORN HOMES (U.K.) LIMITED,2682837,03218525,incorrect fame match (ACORN HOMES (UK) vs ACORN HOMES (U.K.),Investment owned,owned by Lighthouse Capital Investments Limited; so would be coded as investment owned if the shareholder info returned correctly. Corporate probably fine
26,Corporate owned,ACORN HOMES (U.K.) LIMITED,2588753,03218525,incorrect fame match (ACORN HOMES (UK) vs ACORN HOMES (U.K.),Investment owned,owned by Lighthouse Capital Investments Limited; so would be coded as investment owned if the shareholder info returned correctly. Corporate probably fine
48,Corporate owned,ACORN HOMES (U.K.) LIMITED,SC023645,03218525,incorrect fame match (ACORN HOMES (UK) vs ACORN HOMES (U.K.),Investment owned,owned by Lighthouse Capital Investments Limited; so would be coded as investment owned if the shareholder info returned correctly. Corporate probably fine
50,Corporate owned,ACORN HOMES (U.K.) LIMITED,SC023646,03218525,incorrect fame match (ACORN HOMES (UK) vs ACORN HOMES (U.K.),Investment owned,owned by Lighthouse Capital Investments Limited; so would be coded as investment owned if the shareholder info returned correctly. Corporate probably fine
52,Corporate owned,ACORN HOMES (U.K.) LIMITED,1250521,03218525,incorrect fame match (ACORN HOMES (UK) vs ACORN HOMES (U.K.),Investment owned,owned by Lighthouse Capital Investments Limited; so would be coded as investment owned if the shareholder info returned correctly. Corporate probably fine
56,Corporate owned,ACORN HOMES (U.K.) LIMITED,2572812,03218525,incorrect fame match (ACORN HOMES (UK) vs ACORN HOMES (U.K.),Investment owned,owned by Lighthouse Capital Investments Limited; so would be coded as investment owned if the shareholder info returned correctly. Corporate probably fine
57,Corporate owned,ACORN HOMES (U.K.) LIMITED,SC478616,03218525,incorrect fame match (ACORN HOMES (UK) vs ACORN HOMES (U.K.),Investment owned,owned by Lighthouse Capital Investments Limited; so would be coded as investment owned if the shareholder info returned correctly. Corporate probably fine
62,Corporate owned,ACORN HOMES (U.K.) LIMITED,1256417,03218525,incorrect fame match (ACORN HOMES (UK) vs ACORN HOMES (U.K.),Investment owned,owned by Lighthouse Capital Investments Limited; so would be coded as investment owned if the shareholder info returned correctly. Corporate probably fine
71,Corporate owned,ACORN HOMES (U.K.) LIMITED,SC416915,03218525,incorrect fame match (ACORN HOMES (UK) vs ACORN HOMES (U.K.),Investment owned,owned by Lighthouse Capital Investments Limited; so would be coded as investment owned if the shareholder info returned correctly. Corporate probably fine
9,Corporate owned,ALBRIGHTON CARE HOMES LTD,2519084,07081004,incorrect fame match,Individual owned,matched to dissolved ALBRIGHTON CARE HOMES LTD rather than ALBRIGHTON CARE LTD - which is run by two men with same surname
22,Corporate owned,BAYIS SHELI LTD,SC490365,05576871,Charity identified as private by ofsted,Third sector,"registered as a charity after opening as a private, ofsted not updated, unsure."
58,Corporate owned,CARE ASSIST CHILDRENS SERVICES LTD,SC061678,03713959,incorrect fame match,Individual owned,"matched to dissolved CARE ASSIST CHILDRENS SERVICES LTD rather than CARE ASSIST CHILDRENS SERVICES limited, run by terrence murphey"
28,Corporate owned,CONQUERED LIMITED,2594859,03833987,incorrect fame match,Individual owned,"two companies named CONQUERED LIMITED, matched to dissolved company"
15,Corporate owned,CROSSWAY SERVICES LIMITED,SC063498,03455097,incorrect fame match,Corporate owned,"part of pebbles, then Ardenten UK corporate chain, no obvious investment. Two companies called CROSSWAY SERVICES LIMITED"
16,Corporate owned,CROSSWAY SERVICES LIMITED,SC460761,03455097,incorrect fame match,Corporate owned,"part of pebbles, then Ardenten UK corporate chain, no obvious investment. Two companies called CROSSWAY SERVICES LIMITED"
23,Corporate owned,CROSSWAY SERVICES LIMITED,SC068206,03455097,incorrect fame match,Corporate owned,"part of pebbles, then Ardenten UK corporate chain, no obvious investment. Two companies called CROSSWAY SERVICES LIMITED"
