"","Sector","URN","Places","Local.authority","Organisation","Registration.date","Overall.experiences.and.progress.of.children.and.young.people","Latest.full.inspection.date","Homes","Join","Leave","keep"
"1","Local Authority","SC037454",5,"WEST SUSSEX","West Sussex County Council","21/02/2003","Outstanding",2015-03-27,1,"2014-01-01",NA,NA
"2","For-profit","SC472139",2,"WEST BERKSHIRE","Amegreen Children's Services Limited","13/11/2013","Good",2015-03-26,1,"2014-01-01",NA,NA
"3","For-profit","SC472164",4,"WEST BERKSHIRE","Amegreen Children's Services Limited","13/11/2013","Good",2015-03-25,1,"2014-01-01",NA,NA
"4","For-profit","SC480502",4,"HAMPSHIRE","New Forest Care Ltd","22/09/2014","Good",2015-03-25,1,"2014-09-22",NA,NA
"5","Third Sector","SC433451",6,"SUNDERLAND","St Cuthbert's Care","05/09/2011","Outstanding",2015-03-19,1,"2014-01-01",NA,NA
"6","Local Authority","SC462583",4,"NORFOLK","Norfolk County Council Children's Services","29/04/2013","Good",2015-03-19,1,"2014-01-01",NA,NA
"7","Local Authority","SC059639",8,"BRADFORD",NA,NA,"Inadequate",2015-03-18,1,"2014-01-01","2015-04-01",NA
"8","For-profit","SC461240",4,"ESSEX","Care Focus Limited","09/05/2013","Good",2015-03-17,1,"2014-01-01","2022-08-24",NA
"9","For-profit","SC479070",45,"OXFORDSHIRE",NA,NA,"Outstanding",2015-03-17,1,"2014-08-21","2017-07-31",NA
"10","For-profit","SC457428",2,"SEFTON",NA,NA,"Good",2015-03-17,1,"2014-01-01","2017-03-10",NA
"11","For-profit","SC463558",6,"HAMPSHIRE","The Serendipity Centre Limited","28/05/2013","Outstanding",2015-03-11,1,"2014-01-01","2019-09-20",NA
"12","For-profit","SC466315",4,"HAMPSHIRE",NA,NA,"Good",2015-03-11,1,"2014-01-01","2016-05-05",NA
"13","For-profit","SC443959",8,"LANCASHIRE","Priory New Education Services Limited 07221650","03/05/2012","Inadequate",2015-03-11,1,"2014-01-01",NA,NA
"14","For-profit","SC062782",4,"BLACKPOOL",NA,NA,"Good",2015-03-11,1,"2014-01-01","2016-09-18",NA
"15","For-profit","SC482298",14,"STAFFORDSHIRE",NA,NA,"Outstanding",2015-03-10,1,"2014-10-12","2017-07-11",NA
"16","For-profit","SC457502",1,"WIRRAL",NA,NA,"Good",2015-03-10,1,"2014-01-01","2015-11-25",NA
"17","For-profit","SC479281",2,"NORTHUMBERLAND","Howard House Care Limited","03/09/2014","Good",2015-03-09,1,"2014-09-03","2020-10-29",NA
"18","For-profit","SC476748",4,"WEST SUSSEX",NA,NA,"Good",2015-03-06,1,"2014-05-02","2017-09-14",NA
"19","Local Authority","SC035500",24,"SOUTH GLOUCESTERSHIRE","South Gloucestershire Council","15/01/2003","Good",2015-03-02,1,"2014-01-01",NA,NA
"20","Third Sector","SC394025",60,"SURREY","The National Centre for Young People with Epilepsy","09/06/2009","Outstanding",2015-02-27,1,"2014-01-01","2020-09-01",NA
"21","For-profit","SC425859",3,"STAFFORDSHIRE","Roundhouse Care Ltd","28/04/2011","Outstanding",2015-02-27,1,"2014-01-01",NA,NA
"22","For-profit","SC023741",3,"KENT","Ethelbert Specialist Homes Limited","26/06/2001","Good",2015-02-26,1,"2014-01-01",NA,NA
"23","For-profit","SC478315",4,"HAMPSHIRE","The Serendipity Centre Limited","09/06/2014","Outstanding",2015-02-26,1,"2014-06-09",NA,NA
"24","Third Sector","SC445174",4,"CHESHIRE EAST",NA,NA,"Good",2015-02-26,1,"2014-01-01","2017-06-30",NA
"25","For-profit","SC443708",3,"SHROPSHIRE","Physis Quantum Limited","13/08/2012","Good",2015-02-26,1,"2014-01-01",NA,NA
"26","For-profit","SC476259",4,"SHROPSHIRE",NA,NA,"Good",2015-02-26,1,"2014-06-20","2017-12-08",NA
"27","Local Authority","SC038690",5,"HAMPSHIRE","Hampshire County Council",NA,"Good",2015-02-25,1,"2014-01-01","2018-06-01",NA
"28","Local Authority","SC030369",2,"SOMERSET",NA,NA,"Inadequate",2015-02-25,1,"2014-01-01","2016-02-05",NA
"29","Local Authority","SC479244",3,"WORCESTERSHIRE","Worcestershire County Council",NA,"Good",2015-02-25,1,"2014-07-23","2018-11-08",NA
"30","For-profit","SC480318",4,"SHROPSHIRE","Bryn Melyn Care","26/08/2014","Good",2015-02-25,1,"2014-08-26",NA,NA
"31","For-profit","SC023737",3,"KENT","Ethelbert Specialist Homes Limited","26/06/2001","Outstanding",2015-02-24,1,"2014-01-01",NA,NA
"32","For-profit","SC464249",2,"BIRMINGHAM","Thoughts of Others Ltd",NA,"Good",2015-02-24,1,"2014-01-01","2018-07-26",NA
"33","For-profit","SC480429",1,"LANCASHIRE","Cambian Childcare Ltd","08/08/2014","Good",2015-02-24,1,"2014-08-08",NA,NA
"34","For-profit","SC452461",8,"NORFOLK","SES Turnstone Limited","28/09/2012","Good",2015-02-24,1,"2014-01-01",NA,NA
"35","For-profit","SC474863",5,"OXFORDSHIRE",NA,NA,"Outstanding",2015-02-24,1,"2014-05-14","2017-05-26",NA
"36","Local Authority","SC044485",7,"NEWCASTLE UPON TYNE","Newcastle City Council","29/01/2004","Good",2015-02-23,1,"2014-01-01","2019-08-16",NA
"37","For-profit","SC454688",3,"CUMBRIA","Key Change Children's Service Limited",NA,"Good",2015-02-23,1,"2014-01-01","2018-03-31",NA
"38","For-profit","SC064117",7,"COVENTRY","Progress Children's Services","25/08/2005","Inadequate",2015-02-20,1,"2014-01-01",NA,NA
"39","For-profit","SC069474",3,"EAST SUSSEX","Anderida Adolescent Care","12/03/2007","Good",2015-02-19,1,"2014-01-01",NA,NA
"40","For-profit","SC468019",4,"TELFORD AND WREKIN",NA,NA,"Good",2015-02-18,1,"2014-01-01","2017-02-06",NA
"41","For-profit","SC480847",6,"EAST RIDING OF YORKSHIRE","Hexagon Care Services Limited","01/12/2014","Good",2015-02-18,1,"2014-12-01",NA,NA
"42","For-profit","SC055912",4,"COVENTRY","Verve Life Limited","16/04/2004","Inadequate",2015-02-18,1,"2014-01-01","2020-09-30",NA
"43","For-profit","SC005067",6,"STAFFORDSHIRE","Esland North Limited","05/01/1998","Good",2015-02-18,1,"2014-01-01","2021-10-08",NA
"44","For-profit","SC472795",5,"NEWCASTLE UPON TYNE","Artemis Support Ltd","02/01/2014","Good",2015-02-17,1,"2014-01-01",NA,NA
"45","For-profit","SC478991",4,"STAFFORDSHIRE","Esland North Limited","02/06/2014","Good",2015-02-17,1,"2014-06-02",NA,NA
"46","For-profit","SC011972",6,"HAMPSHIRE","Hillcrest Children's Services Ltd","15/12/1992","Good",2015-02-16,1,"2014-01-01",NA,NA
