"","URN","chain_size"
"1","SC059639",13
"2","SC030369",5
"3","SC359275",10
"4","SC034205",7
"5","SC474585",1
"6","SC442279",3
"7","SC470513",7
"8","SC379659",3
"9","SC035239",14
"10","SC035383",6
"11","SC039680",22
"12","SC033371",12
"13","SC038827",17
"14","SC031537",2
"15","SC035454",22
"16","SC036758",6
"17","SC039243",22
"18","SC035780",17
"19","SC375540",8
"20","SC039183",22
"21","SC062937",4
"22","SC034938",6
"23","SC039216",17
"24","SC458115",10
"25","SC039100",17
"26","SC033587",8
"27","SC358206",5
"28","SC065486",2
"29","SC032531",5
"30","SC039134",22
"31","SC007286",5
"32","SC032772",6
"33","SC033664",10
"34","SC033696",10
"35","SC357166",10
"36","SC010769",12
"37","SC035450",22
"38","SC036347",3
"39","SC037330",4
"40","SC043539",5
"41","SC016696",5
"42","SC041018",6
"43","SC062537",2
"44","SC032300",2
"45","SC033539",5
"46","SC033629",9
"47","SC035678",2
"48","SC036504",2
"49","SC033672",10
"50","SC034168",12
"51","SC036774",5
"52","SC394224",1
"53","SC064515",4
"54","SC066549",3
"55","SC031015",5
"56","SC033408",6
"57","SC010762",12
"58","SC032240",3
"59","SC033699",10
"60","SC034825",5
"61","SC037941",12
"62","SC441973",12
"63","SC034609",1
"64","SC034627",1
"65","SC037371",8
"66","SC369144",4
"67","SC369339",8
"68","1244835",2
"69","SC007293",5
"70","SC023644",15
"71","SC031980",1
"72","SC032715",5
"73","SC032723",5
"74","SC032725",5
"75","SC033289",6
"76","SC033441",2
"77","SC033486",13
"78","SC033662",10
"79","SC034643",10
"80","SC034744",7
"81","SC035107",10
"82","SC036260",17
"83","SC037423",12
"84","SC037481",2
"85","SC037923",17
"86","SC038804",5
"87","SC039215",17
"88","SC042037",5
"89","SC044058",1
"90","SC044963",3
"91","SC055357",5
"92","SC061045",6
"93","SC062644",5
"94","SC063167",10
"95","SC064764",5
"96","SC067989",5
"97","SC405649",4
"98","SC458025",15
"99","SC462809",2
"100","1164379",1
"101","1183618",1
"102","1214688",1
"103","1232271",1
"104","1237090",60
"105","1240754",24
"106","1240842",24
"107","1241656",2
"108","1242111",11
"109","1244384",6
"110","1253865",5
"111","1254109",1
"112","1254701",2
"113","1254838",1
"114","1256912",6
"115","SC005039",9
"116","SC008325",8
"117","SC018039",1
"118","SC020682",1
"119","SC032250",6
"120","SC032253",2
"121","SC032517",4
"122","SC033392",3
"123","SC033638",12
"124","SC033698",10
"125","SC034100",10
"126","SC034152",7
"127","SC034652",1
"128","SC034775",6
"129","SC035690",60
"130","SC035972",17
"131","SC035998",10
"132","SC036266",8
"133","SC036275",8
"134","SC036501",2
"135","SC037452",7
"136","SC037467",15
"137","SC038066",4
"138","SC038690",17
"139","SC038750",17
"140","SC038973",3
"141","SC039214",17
"142","SC040505",8
"143","SC042590",1
"144","SC043405",2
"145","SC049714",4
"146","SC058622",6
"147","SC059437",131
"148","SC060118",12
"149","SC060327",1
"150","SC061952",5
"151","SC063054",22
"152","SC063890",131
"153","SC064608",9
"154","SC068067",4
"155","SC068145",131
"156","SC068277",225
"157","SC361206",12
"158","SC361212",12
"159","SC362972",1
"160","SC375136",4
"161","SC391739",131
"162","SC393228",5
"163","SC396777",12
"164","SC399222",7
"165","SC405772",60
"166","SC407326",225
"167","SC411798",131
"168","SC413177",4
"169","SC417360",127
"170","SC417387",127
"171","SC433923",225
"172","SC440170",9
"173","SC441591",1
"174","SC443079",131
"175","SC444352",225
"176","SC448129",5
"177","SC454688",23
