"Relative Low Income (I
II
III
IV
V
VI)",,,,,,,,,,,
National - Regional - LA - OAs by Year,,,,,,,,,,,
Counting: Relative Low Income,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
Default Summation,Relative Low Income,,,,,,,,,,
,,,,,,,,,,,
Year,,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
,National - Regional - LA - OAs,,,,,,,,,,
,County Durham,21807,23550,23152,26111,23781,28173,24329,26028,29246,31005
,Darlington,4759,5022,4955,5821,5224,6210,5191,5723,6413,6762
,Hartlepool,4779,5254,5192,6042,5367,6310,5348,5738,6837,6865
,Middlesbrough,9091,10570,10999,12638,12216,13827,12565,13165,14752,15106
,Northumberland,11045,11777,11643,13275,12154,14400,11977,12850,14386,15078
,Redcar and Cleveland,5794,6276,6652,7422,6661,8098,7120,7588,8660,8841
,Stockton-on-Tees,8508,9261,9315,10530,9532,11224,9698,10552,11799,12298
,Gateshead,7699,8192,8284,9562,8819,10544,8790,9416,11223,11771
,Newcastle upon Tyne,13770,15438,15979,18228,16895,18942,16208,17502,19506,20147
,North Tyneside,7180,7721,7712,8930,8207,9713,8173,8809,9713,10174
,South Tyneside,6843,7594,7648,8847,8250,9670,8216,8675,9899,9819
,Sunderland,12832,13499,13468,15260,14127,16463,14082,15247,17256,17673
,Blackburn with Darwen,14008,15441,15151,16760,16141,17650,15057,16340,17847,18609
,Blackpool,7076,7538,7438,8420,8142,9276,8362,8658,10183,11012
,Cheshire East,9670,10169,9530,10944,10270,12139,10509,11392,12769,13709
,Cheshire West and Chester,9530,9874,9613,11042,10153,12675,10598,11509,13256,13899
,Cumberland,9205,9754,9474,10884,10205,11563,9352,10286,11707,12365
,Halton,5278,5612,5460,6081,5587,6806,5646,6380,7335,7547
,Warrington,6389,6933,6579,7687,6890,8254,6864,7388,8288,8565
,Westmorland and Furness,6695,6918,6607,7315,6900,7973,6621,6799,7561,8033
,Bolton,19651,21551,21633,24773,23897,27706,24707,26597,29345,30323
,Bury,9595,10462,10174,11411,10725,12082,10567,11158,12856,14026
,Manchester,37880,41648,42202,48575,46831,52622,46480,49737,56478,58583
,Oldham,20004,22450,22872,25762,24518,27312,24560,26231,28746,29710
,Rochdale,15359,16364,16198,18069,17446,19697,17691,19369,21679,22894
,Salford,12547,13505,13739,15847,14882,17519,14813,16589,19263,20355
,Stockport,9357,9810,9513,10785,10188,11773,10525,11100,12496,12882
