"","Organisation","Organisation_fame_search","Company.name","Registered.number"
"1","Children Assisted in a Real Environment (care) Ltd","children assisted in a real environment ltd","CHILDREN ASSISTED IN A REAL ENVIRONMENT LTD","04958658"
"2","Amegreen Children's Services Limited","Amegreen childrens Services Limited","AMEGREEN CHILDRENS SERVICES LIMITED","08540912"
"3","New Forest Care Ltd","New Forest Care Ltd","NEW FOREST CARE LIMITED","04228723"
"4","St Cuthbert's Care","St Cuthberts Care","ST CUTHBERT'S CARE","01645917"
"5","Care Focus Limited","Care Focus Limited","CARE FOCUS LIMITED","04637117"
"6","The Serendipity Centre Limited","The Serendipity Centre Limited","THE SERENDIPITY CENTRE LIMITED","06829359"
"7","Priory New Education Services Limited 07221650","Priory New Education Services Limited","ASPRIS NEW EDUCATION SERVICES LIMITED","07221650"
"8","ERA Care Limited 5921904","ERA Care Limited","ERA CARE LIMITED","05921904"
"9","Howard House Care Limited","Howard House Care Limited","HOWARD HOUSE CARE LIMITED","05270880"
"10","Keys Education Limited","Keys Education Limited","KEYS EDUCATION LIMITED","02134774"
"11","Horton Establishments Ltd","Horton Establishments Ltd","HORTON ESTABLISHMENTS LTD","04074346"
"12","The National Centre for Young People with Epilepsy","The National Centre for Young People with Epilepsy","THE NATIONAL CENTRE FOR YOUNG PEOPLE WITH EPILEPSY CHARITABLE TRUST","CHA311877"
"13","Roundhouse Care Ltd","Roundhouse Care Ltd","ROUNDHOUSE CARE LIMITED","06942346"
"14","Ethelbert Specialist Homes Limited","Ethelbert Specialist Homes Limited","ETHELBERT SPECIALIST HOMES LIMITED","03291503"
"15","Physis Quantum Limited","Physis Quantum Limited","PHYSIS QUANTUM LIMITED","07710606"
"16","Bryn Melyn Care","Bryn Melyn Care","BRYN MELYN CARE LIMITED","06442752"
"17","Thoughts of Others Ltd","Thoughts of Others Ltd","THOUGHTS OF OTHERS LTD","04161398"
"18","Cambian Childcare Ltd","Cambian Childcare Ltd","CAMBIAN CHILDCARE LIMITED","04280519"
"19","SES Turnstone Limited","SES Turnstone Limited","SES TURNSTONE LIMITED","07972485"
"20","Key Change Children's Service Limited","Key Change childrens Service Limited","KEY CHANGE CHILDREN'S SERVICE LIMITED","06486434"
"21","Progress Children's Services","Progress childrens Services","PROGRESS CHILDREN'S SERVICES LIMITED","04014026"
"22","Anderida Adolescent Care","Anderida Adolescent Care","ANDERIDA ADOLESCENT CARE LIMITED","02722183"
"23","Hexagon Care Services Limited","Hexagon Care Services Limited","HEXAGON CARE SERVICES LIMITED","08885676"
"24","Verve Life Limited","Verve Life Limited","VERVE LIFE LIMITED","04204572"
"25","Esland North Limited","Esland North Limited","ESLAND NORTH LIMITED","04181878"
"26","Artemis Support Ltd","Artemis Support Ltd","COMPASS CHILDREN'S HOMES NORTH EAST LIMITED","07013791"
"27","Hillcrest Children's Services Ltd","Hillcrest childrens Services Ltd","HILLCREST CHILDRENS SERVICES LIMITED","04409479"
"28","Moonreach Ltd","Moonreach Ltd","MOONREACH LIMITED","07129730"
"29","Crossway Services Limited","Crossway Services Limited","CROSSWAY SERVICES LIMITED","03455097"
"30","Roseberry Specialist Care Centres Ltd","Roseberry Specialist Care Centres Ltd","ROSEBERRY SPECIALIST CARE CENTRES LIMITED","06984472"
"31","Action For Children","Action For Children","ACTION FOR CHILDREN","04764232"
