,...1,Sector.x,URN,Places,Local.authority,Organisation,Registration.date,Overall.experiences.and.progress.of.children.and.young.people,Latest.full.inspection.date,Join,Leave,Company.name,Indiv,Invest,LA_owned_companies,Sector_merge,comments,Decision,Options,
1,2206,Private,2689544,3,LANCASHIRE,Cherish Childrens Care Ltd,06/06/2022,Requires improvement to be good,13/12/2022,06/06/2022,NA,CHERISH CHILDRENS CARE LTD,0,0,0,Corporate owned,"They describe themselves as family-owned, values-led organisation on their website. So they disagree with corporate owned description. Looking at companies house confirmations, they are owned by CHERISH (UK) LIMITED, which is owned by CHERISH HOLDINGS LIMITED. It probably is not far off family owned, but is within our definition of a corporate chain, given there are more than one operating companies.",Correct,,
2,2376,Private,SC410545,2,BIRMINGHAM,Positive Pathways Limited,28/07/2010,Good,09/08/2022,NA,NA,POSITIVE PATHWAYS LIMITED,24,0,0,Individual owned,"Their website describes them as individual owned: ""Positive Pathways is a private limited company, owned and managed by Kevin and Danielle Epps"". Let's check companies house… yep two shareholders Kev and Dan Epps",Correct,,
3,1839,Private,2510201,2,BLACKPOOL,Outbound Care Limited,07/05/2019,Good,17/01/2023,07/05/2019,NA,OUTBOUND CARE LIMITED,5,0,0,Individual owned,"Nothing on their website. Owned by 5 individuals, who also run Outbound Academy - but not a huge chain of companies or anything",Correct,,
4,983,Private,SC478001,4,STAFFORDSHIRE,Longdon Hall School Limited,11/07/2014,Good,12/01/2022,11/07/2014,25/03/2023,LONGDON HALL SCHOOL LIMITED,0,0,0,Corporate owned,"Home with 4 beds run by a school, but not a school. They have a complex ownership structure which includes the companies CHP INVESTMENTS 3 LIMITED and AZTEC FINANCIAL SERVICES (UK) LIMITED. AZTEC FINANCIAL SERVICES (UK) LIMITED has a sic code of 64999 - Financial intermediation not elsewhere classified. FAME also gives them investment NACE code. Ultimate owner is in the cayman islands. This is incorrect, but the reason it is unclassified is because the shareholder in Fame has the industrial classification code of being in property and rentals - not finance. And then the company names don't include any search terms ",Incorrect,"Add Cayman = investment; Add ""Investment"" to search term", 
5,1108,Private,SC412979,4,LANCASHIRE,Aspris New Education Services Limited,08/07/2010,Good,21/02/2023,NA,NA,ASPRIS NEW EDUCATION SERVICES LIMITED,0,848,0,Investment owned,Used to be named Priory (assume part of priory group). Ownership chain includes Aspris Bidco Limited. Reported as private equity owned in netherlands https://www.thisismoney.co.uk/money/markets/article-14299457/Childrens-homes-run-private-equity-rake-millions.html,Correct,,
6,2611,Private,SC470290,3,SOMERSET,Headway Adolescent Resources Limited,23/01/2014,Good,13/09/2022,NA,NA,HEADWAY ADOLESCENT RESOURCES LIMITED,0,3584,0,Investment owned,"website reports they are ""Part of the Polaris Community"". Ownership from companies house includes Nutrius Uk Bidco Limited - reported as private equity https://www.communitycare.co.uk/2020/07/24/two-companies-account-one-third-independent-fostering-placements-ofsted-figures-show/",Correct,,
7,2936,Private,2669259,4,LINCOLNSHIRE,Total Care Matters Limited,16/02/2022,Good,13/09/2022,16/02/2022,NA,TOTAL CARE MATTERS LTD,12,0,0,Individual owned,"no wesbite. Shares held by 10 individuals with 2 different surnames (two families splitting shares amongst themselves (for tax purposes?)) Officers own one other company, not huge corporate owners",Correct,,
8,1160,Private,SC009651,4,LANCASHIRE,Keys Child Care Ltd,08/02/1996,Outstanding,29/11/2022,NA,NA,KEYS CHILD CARE LIMITED,0,160,0,Investment owned,"Keys, well known PE https://www.theguardian.com/society/2023/dec/23/england-childrens-care-homes-backed-by-private-equity-firms-double-over-five-years",Correct,,
9,3181,Private,SC023651,8,KENT,Little Acorns London Beach Farm Limited,16/12/1994,Good,05/10/2022,NA,NA,LITTLE ACORNS LONDON BEACH FARM LIMITED,0,0,0,Corporate owned,Owned by Knighton Investments Limited located in Guernsey,Incorrect,Add Guernsey or investment., 
10,1892,Private,SC396721,1,SHROPSHIRE,Reflexion Care Group Limited,25/06/2009,Good,30/11/2022,NA,NA,REFLEXION CARE GROUP LIMITED,0,94320,0,Investment owned,"nothing on website, owned by Bridges fund management",Correct,,
11,747,Private,2623004,1,BOLTON,Cambian Childcare Limited,01/03/2021,Good,26/10/2021,01/03/2021,NA,CAMBIAN CHILDCARE LIMITED,0,13632,0,Investment owned,"Cambian, well known PE https://www.theguardian.com/society/2023/dec/23/england-childrens-care-homes-backed-by-private-equity-firms-double-over-five-years",Correct,,
12,395,Private,1255147,8,SHROPSHIRE,Bryn Melyn Care Limited,29/06/2017,Good,28/08/2019,29/06/2017,07/04/2021,BRYN MELYN CARE LIMITED,0,10176,0,Investment owned,"yep, owned by outcomes first, known PE https://www.cypnow.co.uk/content/news/large-private-children-s-homes-provider-sold-to-private-equity-firms",Correct,,
13,3200,Private,SC417795,4,LEEDS,Pebbles Care Limited,02/11/2010,Requires improvement to be good,22/08/2022,NA,NA,PEBBLES CARE LIMITED,0,936,0,Investment owned,"nothing on website, owned by Pebbles Holdco Limited and pebbles properties which is owned by Ardenton Care Holdings Limited, which is owned by Ardenton Capital Investments Limited, venture capitalists.",Correct,,
14,559,Private,SC482223,3,LEICESTERSHIRE,Horizon Care And Education Group Limited,20/03/2015,Good,18/11/2019,20/03/2015,17/01/2022,HORIZON CARE AND EDUCATION GROUP LIMITED,0,2313,0,Investment owned,"ye, horizon, well known PE https://www.horizoncapital.co.uk/",Correct,,
15,606,Private,1212708,3,NOTTINGHAM,Pathway Care Solutions Ltd 04004053,09/12/2015,Requires improvement to be good,20/10/2021,09/12/2015,NA,PATHWAY CARE SOLUTIONS LIMITED,0,290960,0,Investment owned,"yep, owned by Pathway Care Solutions Group Limited which is owned by keys, well known pe",Correct,,
16,382,Private,1245979,5,BIRMINGHAM,Priory Education Services Limited,01/10/2016,Good,01/07/2019,01/10/2016,14/07/2020,ASPRIS CHILDREN'S SERVICES LIMITED,0,828,0,Investment owned,Used to be named Priory (assume part of priory group). Ownership chain includes Aspris Bidco Limited. Reported as private equity owned in netherlands https://www.thisismoney.co.uk/money/markets/article-14299457/Childrens-homes-run-private-equity-rake-millions.html,Correct,,
17,2885,Private,SC489036,4,LEICESTERSHIRE,United Children's Services Limited,03/09/2015,Good,21/06/2022,03/09/2015,NA,UNITED CHILDREN'S SERVICES LIMITED,0,0,0,Corporate owned,"nothing, on website, owned by UNITED HEALTH GROUP 2 LIMITED (11885403) which is owned by a mogul named Mr Philip John Pearson",Correct,,
18,1389,Private,1264537,5,WIGAN,ROC Northwest Limited,29/11/2017,Good,11/10/2022,29/11/2017,NA,ROC NORTHWEST LIMITED,0,1368,0,Investment owned,"yep, owned by caretech, well known PE https://pe-insights.com/social-care-provider-caretech-accepts-870m-takeover-offer-from-consortium-led-by-founding-brothers/",Correct,,
19,2223,Private,2507889,1,BLACKPOOL,Outbound Care Limited,07/05/2019,Outstanding,07/02/2023,07/05/2019,NA,OUTBOUND CARE LIMITED,5,0,0,Individual owned,"yep, 5 shareholders, as above for outbound",Correct,,
20,1261,Private,1234317,6,CALDERDALE,Your Chapter LTD,04/08/2016,Requires improvement to be good,10/05/2022,04/08/2016,NA,YOUR CHAPTER LIMITED,0,576,0,Investment owned,"yep, minority shareholders include Micota Capital according to report https://www.revolution-consulting.org/wp-content/uploads/2023/09/Alt-Profit-Making-and-Risk-in-Independent-Childrens-Social-Care-Placement-Providers-final-2023.pdf, I can see shareholder called INSPIRE CAPITAL LIMITED",Correct,,
21,3282,Private,1249115,4,CALDERDALE,Your Chapter LTD,12/03/2017,Requires improvement to be good,04/05/2022,12/03/2017,NA,YOUR CHAPTER LIMITED,0,576,0,Investment owned,"yep, minority shareholders include Micota Capital according to report https://www.revolution-consulting.org/wp-content/uploads/2023/09/Alt-Profit-Making-and-Risk-in-Independent-Childrens-Social-Care-Placement-Providers-final-2023.pdf, I can see shareholder called INSPIRE CAPITAL LIMITED",Correct,,
22,2108,Private,2682524,4,HAMPSHIRE,Sportfit Support Services Ltd,12/07/2022,Requires improvement to be good,01/11/2022,12/07/2022,NA,SPORTFIT SUPPORT SERVICES LIMITED,0,708,0,Investment owned,"yep, followed it up a chain of persons with significant control to Duke Capital Limited in guernsey",Correct,,
23,3173,Private,SC063653,2,STAFFORDSHIRE,Future In Mind Limited,09/05/2005,Good,01/02/2023,NA,NA,FUTURE IN MIND LIMITED,15,0,0,Individual owned,"yep, three shareholders, director only directs this one company",Correct,,
24,238,Private,1263623,3,NORTH SOMERSET,Unseen Uk,NA,NA,NA,18/12/2017,18/12/2018,UNSEEN (UK),0,0,0,Corporate owned,"no, just run by 3 people but reports The company knows or has reasonable cause to believe that there is no registrable person
or registrable relevant legal entity in relation to the company. zero shareholders from fame data means it was residual and classified as corporate",Incorrect,,
25,3393,Private,SC020610,3,SHROPSHIRE,Keys Nhcc Ltd,06/08/2001,Good,25/01/2023,NA,NA,KEYS NHCC LIMITED,0,7640,0,Investment owned,"Keys, well known PE https://www.theguardian.com/society/2023/dec/23/england-childrens-care-homes-backed-by-private-equity-firms-double-over-five-years",Correct,,
26,3332,Private,1258276,6,SUFFOLK,Achieving Aspirations  Community Interest Company,01/06/2017,Requires improvement to be good,25/10/2022,01/06/2017,NA,ACHIEVING ASPIRATIONS COMMUNITY INTEREST COMPANY,6,0,0,Individual owned,"eyp, was owned by a company until 2017, but now one shareholder person",Correct,,
27,3274,Private,2628612,3,LUTON,Halls Homes For Young People Ltd,24/09/2021,Requires improvement to be good,07/06/2022,24/09/2021,NA,HALLS HOMES FOR YOUNG PEOPLE LTD,5,0,0,Individual owned,"eyp, family run by the Hall famiky",Correct,,
28,3340,Private,1236532,5,OXFORDSHIRE,Calcot Services for Children Limited,14/07/2016,Good,29/06/2022,14/07/2016,NA,CALCOT SERVICES FOR CHILDREN LIMITED,12,0,0,Individual owned,"yep, two owners, no structure",Correct,,
