"","Organisation_fame_search"
"1","Safe Haven Adolescent Care Group Limited"
"2","MERCIA CHILDREN SERVICES LIMITED"
"3","Solo Independent Living Adolescent Care Services Ltd"
"4","Halliwell Homes (Midlands Division) Limited"
"5","Bright Futures Care Ltd"
"6","The Beeches UK Limited"
"7","Willows (Devon) Ltd"
"8","Strive To Care Ltd"
"9","Supporting Hands Care Services Ltd"
"10","Castle Care Homes"
"11","Enhanced Young Persons Care Limited"
"12","Support And Sustain Care Ltd"
"13","Connect Care solutions limited"
"14","Northamptonshire Childrens Trust Limited"
"15","Madiba ltd"
"16","Oakley House childrens Home Limited"
"17","Central & Southern Homes Ltd"
"18","247 Bluebell Care Limited"
"19","PURE GRACE HOMES LIMITED"
"20","Clearwater Care (Hackney) Ltd"
"21","Clear Water Care Homes Ltd"
"22","GAC Family Services Ltd"
"23","Care Today ( Childrens Services ) Ltd"
"24","TJY Care ltd"
"25","Forte Care Ltd"
"26","Young Birch Ltd"
"27","Prosper and Enterprise Limited"
"28","Momentum Residential Care Home Ltd"
"29","Evolve Child care Ltd"
"30","Resi-Action Staffordshire Ltd"
"31","Huntercombe Young People Ltd"
"32","Monarch Intervention Services Ltd"
"33","Care2Care childrens Home Ltd"
"34","I.M.P.A.C.T childrens Residential Care Ltd"
"35","Parallel Parents Ltd"
"36","Oakley House (Kent) Limited"
"37","Protea Care 2 Limited"
"38","Supreme Child Care ltd"
"39","Camino Care Limited"
"40","Halls Homes For Young People Ltd"
"41","Aegis 24/7 Ltd"
"42","Hopespring"
"43","Safety & Focused Care Ltd"
"44","Excel Residential Care LTD"
"45","Positive Steps Specialist Care Services Limited"
"46","Ashdown Care Homes Limited"
"47","Applecast Limited"
"48","Truly Care Services Ltd"
"49","Charis Services for Children Ltd"
"50","Treasure Nest Limited"
"51","Positive Homes for Positive Futures ltd"
"52","PALS Residential Services Ltd"
"53","MJ Residential Services"
"54","Horizon Care Mayfield Lodge Limited"
"55","Cherry Care childrens Home Ltd"
"56","Vita Spirit Limited"
"57","Trax MX Ltd"
"58","Ashford childrens Care Limited"
"59","Family First Care Services Ltd"
"60","First Steps Care Ltd"
"61","Anchor Care and Education Ltd"
"62","St. Caspian Care Limited"
"63","GREEN HARVEST CAPITAL CONSULTING LTD"
"64","24/7 SUPPORT UK LIMITED"
"65","Abundantia Care Limited"
"66","Moncur Group Ltd"
"67","Acheron Care Limited"
"68","Roxwell Care Gidea Park Limited"
"69","Next Step Independence Ltd"
"70","ARGF LIMITED"
"71","Bethel childrens Care Ltd"
"72","Contemporary Concept Care Limited"
"73","Northridge Care Group Ltd"
"74","Real Care Support Ltd."
"75","Nurture Care Group Ltd"
"76","Infinity Care Home Ltd"
"77","Sankofa Specialist Care Ltd"
"78","Carterhatch Homes Limited"
"79","Williams Welfare Ltd"
"80","Centre 404"
"81","Solace Care ClayHall Ltd"
"82","A&R Guardian Services Limited"
"83","Kedleston (Wood Grove Childcare) Limited"
"84","Helpful Investments Limited"
"85","Trauma in Mind Ltd"
"86","Barracare Ltd"
"87","Allesley Childrens Care Ltd"
"88","Ascent Fostering Agency"
"89","Dimensions Care Ltd"
"90","SV Care Services Limited"
"91","We Care Bespoke Limited"
"92","Lily Residential Services LTd"
"93","Ubuntu Group Limited"
"94","ALTERNATIVE APPROACH CARE LTD"
"95","Procure Care Providers Limited"
"96","Kids Inc Residential Services Ltd"
"97","Willcob Care Ltd"
