"","Local.authority","year","Places_Individual_owned","Places_Corporate_owned","Places_Unidentified_for_profit","Places_Local_Authority","Places_Third_sector","Places_Investment_owned","Places_LA_owned_company","Homes_Individual_owned","Homes_Corporate_owned","Homes_Unidentified_for_profit","Homes_Local_Authority","Homes_Third_sector","Homes_Investment_owned","Homes_LA_owned_company","out_of_area_per","out_of_area","net_gain","vacancy_rate_fte","child_rel_pov_n","under_19_population","rel_pov_per","Region.Country.name","median_house_price_detached","average_house_price_per_sq_m","X..of.white...aged.16.","Unemployment.rate...aged.16.64.","median_wage","claimant_count_rate","children_in_care","net_loss","occupancy_rate_fte","net_loss_same_year","All_homes","net_loss_lagged","net_loss_lead","LA_lagged","third_lagged","invest_lagged","all_lagged","ind_lagged","corp_lagged","residential_expenditure","Asylum_per","Asylum_no","all_change","third_change","la_change","invest_change","corp_change","ind_change"
"1","BARKING AND DAGENHAM",2014,11,5,7,0,0,0,0,2,1,1,0,0,0,0,"c","c","2",NA,"12384",61940,19.9935421375525,"London",25.5,4478,NA,NA,14.99,3.5,NA,-2,NA,-0.107260456850914,4,NA,0.307548118744293,NA,NA,NA,NA,NA,NA,"2444172",NA,NA,NA,NA,NA,NA,NA,NA
"2","BARKING AND DAGENHAM",2015,11,5,7,0,0,0,0,2,1,1,0,0,0,0,"c","c","-12",49,"13812",63597,21.7180055663003,"London",32.375,4478,56.2,11.8,15.73,2.5,NA,12,51,0.307548118744293,4,-0.107260456850914,0.189031382859949,0,0,0,4,2,1,"3265940",NA,NA,0,0,0,0,0,0
"3","BARKING AND DAGENHAM",2016,11,5,7,0,0,0,0,2,1,1,0,0,0,0,"c","c","-8",49,"14048",65202,21.5453513695899,"London",38,4478,53.2,9.7,14.49,2.3,NA,8,51,0.189031382859949,4,0.307548118744293,0.159402198888862,0,0,0,4,2,1,"7103296",NA,NA,0,0,0,0,0,0
"4","BARKING AND DAGENHAM",2017,11,5,7,0,0,0,0,2,1,1,0,0,0,0,"c","c","-7",40.4,"15644",65804,23.7736307823233,"London",38.025,4478,53.9,9.2,14.67,2.4,NA,7,59.6,0.159402198888862,4,0.189031382859949,0.307548118744293,0,0,0,4,2,1,"5714068",NA,NA,0,0,0,0,0,0
"5","BARKING AND DAGENHAM",2018,16,5,7,0,0,0,0,3,1,1,0,0,0,0,"c","c","-12",29.5,"14437",66246,21.7930139178215,"London",42.65,4478,51.7,8.2,14.34,2.6,NA,12,70.5,0.307548118744293,5,0.159402198888862,0.0705146469756037,0,0,0,4,2,1,"5442620","6","26",1,0,0,0,0,1
"6","BARKING AND DAGENHAM",2019,20,5,7,0,0,0,0,4,1,1,0,0,0,0,"c","c","-4",21.9,"16603",66679,24.8998935196989,"London",38.45,4478,56.9,5.8,14.41,3.6,NA,4,78.1,0.0705146469756037,6,0.307548118744293,0.0705146469756037,0,0,0,5,3,1,"6137232","11","46",1,0,0,0,0,1
"7","BARKING AND DAGENHAM",2020,20,5,7,0,0,0,0,4,1,1,0,0,0,0,"c","c","-4",17.2,"15294",66945,22.8456195384271,"London",42.5,4478,52.8,5.7,16.25,9.3,NA,4,82.8,0.0705146469756037,6,0.0705146469756037,0.307548118744293,0,0,0,6,4,1,"6539432","10","40",0,0,0,0,0,0
"8","BARKING AND DAGENHAM",2021,20,8,7,0,0,0,0,4,2,1,0,0,0,0,"c","c","-12",20.9,"15218",66474,22.893161235972,"London",43.5,4478,47.3,9.2,16.2,9.3,NA,12,79.1,0.307548118744293,7,0.0705146469756037,0.396435670657552,0,0,0,6,4,1,"8069834","9","36",1,0,0,0,1,0
"9","BARKING AND DAGENHAM",2022,20,13,10,0,0,0,0,4,3,1,0,0,0,0,"80","32","-15",20.6,"17013",66764,25.4822958480618,"London",47,4478,49.9,3.1,16.49,6.2,40,15,79.4,0.396435670657552,8,0.307548118744293,0.248289750802121,0,0,0,7,4,2,"10367331","7","29",1,0,0,0,1,0
"10","BARKING AND DAGENHAM",2023,20,13,10,0,0,0,0,4,3,1,0,0,0,0,"83","30","-10",23.2,"18585",67635,27.478376580173,"London",58,4478,47.9,4.6,16.84,6.4,36.144578313253,10,76.8,0.248289750802121,8,0.396435670657552,0.0112562790334312,0,0,0,8,4,3,"6467282","6","27",0,0,0,0,0,0
"11","BARKING AND DAGENHAM",2024,20,13,10,0,0,0,0,4,3,1,0,0,0,0,"c","c","-2",13.3,NA,NA,NA,"London",44.75,4478,37.5,4.2,17.84,7.3,NA,2,86.7,0.0112562790334312,8,0.248289750802121,NA,0,0,0,8,4,3,"8881102","5","20",0,0,0,0,0,0
"12","BARNET",2014,0,0,3,12,9,0,0,0,0,1,2,1,0,0,"75","30","-30",NA,"10028",91028,11.016390561146,"London",89.995,6737,NA,NA,15.53,1.8,40,30,NA,0.840873430223846,4,NA,0.900131798166018,NA,NA,NA,NA,NA,NA,"7403747",NA,NA,NA,NA,NA,NA,NA,NA
"13","BARNET",2015,0,0,3,12,9,0,0,0,0,1,2,1,0,0,"79","34","-32",22,"10559",91482,11.5421612994906,"London",95,6737,67,6,15.1,1.5,43.0379746835443,32,78,0.900131798166018,4,0.840873430223846,0.81124424625276,2,1,0,4,0,0,"7534180",NA,NA,0,0,0,0,0,0
"14","BARNET",2016,0,0,3,12,9,0,0,0,0,1,2,1,0,0,"75","30","-29",22,"10498",92378,11.3641776180476,"London",99.995,6737,68,6.9,15.09,1.5,40,29,78,0.81124424625276,4,0.900131798166018,1.01864853405036,2,1,0,4,0,0,"7619120",NA,NA,0,0,0,0,0,0
"15","BARNET",2017,2,0,0,12,9,0,0,1,0,0,2,1,0,0,"76","38","-36",32.1,"11777",92863,12.6821231276181,"London",115,6737,68.4,4.6,15.58,1.4,50,36,67.9,1.01864853405036,4,0.81124424625276,0.929760982137104,2,1,0,4,0,0,"6831399",NA,NA,0,0,0,0,0,1
"16","BARNET",2018,2,0,0,12,9,0,0,1,0,0,2,1,0,0,"80","37","-33",28.7,"10272",93476,10.988916941247,"London",111,6737,68.7,3.3,14.71,1.4,46.25,33,71.3,0.929760982137104,4,1.01864853405036,0.781615062281673,2,1,0,4,1,0,"8294661","20","64",0,0,0,0,0,0
"17","BARNET",2019,2,0,0,12,9,0,0,1,0,0,2,1,0,0,"78","32","-28",33.1,"11689",93623,12.4851799237367,"London",105,6737,66.6,5.2,15.35,2.2,41.025641025641,28,66.9,0.781615062281673,4,0.929760982137104,0.781615062281673,2,1,0,4,1,0,"9473314","21","64",0,0,0,0,0,0
"18","BARNET",2020,10,0,0,12,9,0,0,3,0,0,2,1,0,0,"76","34","-28",39.2,"10541",94011,11.2125176841008,"London",111.25,6737,65.3,5.7,15.91,6.8,44.7368421052632,28,60.8,0.781615062281673,6,0.781615062281673,0.692727510368415,2,1,0,4,1,0,"9618047","20","67",2,0,0,0,0,2
"19","BARNET",2021,10,0,0,12,9,0,0,3,0,0,2,1,0,0,"82","31","-25",32.1,"10602",93590,11.3281333475799,"London",116.5,6737,65,5.7,16.15,6.5,37.8048780487805,25,67.9,0.692727510368415,6,0.781615062281673,0.722356694339501,2,1,0,6,3,0,"10595006","21","67",0,0,0,0,0,0
"20","BARNET",2022,15,0,0,12,9,0,0,4,0,0,2,1,0,0,"84","31","-26",29.1,"11995",95350,12.5799685369691,"London",119.5,6737,59.1,9.3,16.1,4.5,36.9047619047619,26,70.9,0.722356694339501,7,0.692727510368415,0.840873430223846,2,1,0,6,3,0,"11968082","20","66",1,0,0,0,0,1
"21","BARNET",2023,15,0,0,12,9,0,0,4,0,0,2,1,0,0,"83","38","-30",22.3,"13717",96992,14.1424034971956,"London",145,6737,58.3,4.9,18.27,4.2,45.7831325301205,30,77.7,0.840873430223846,7,0.722356694339501,0.426064854628638,2,1,0,7,4,0,"16906667","18","58",0,0,0,0,0,0
"22","BARNET",2024,15,0,0,12,9,0,0,4,0,0,2,1,0,0,"76","29","-16",18.7,NA,NA,NA,"London",139.74,6737,67.3,5.5,17.92,4.6,38.1578947368421,16,81.3,0.426064854628638,7,0.840873430223846,NA,2,1,0,7,4,0,"16318291","19","62",0,0,0,0,0,0
"23","BARNSLEY",2014,5,5,3,19,8,26,0,2,1,0,2,1,9,0,"47","8","17",NA,"11291",51954,21.7326866073835,"Yorkshire and The Humber",17,1518.33333333333,NA,NA,12.15,3.2,17.0212765957447,-17,NA,-0.551698216417207,15,NA,-0.670214952301552,NA,NA,NA,NA,NA,NA,"4300205",NA,NA,NA,NA,NA,NA,NA,NA
"24","BARNSLEY",2015,5,5,0,15,8,29,0,2,1,0,2,1,10,0,"48","10","21",14,"12106",52041,23.2624277012356,"Yorkshire and The Humber",18,1518.33333333333,98,7.3,12.35,2.5,20.8333333333333,-21,86,-0.670214952301552,16,-0.551698216417207,-0.551698216417207,2,1,9,15,2,1,"5327510",NA,NA,1,0,0,1,0,0
"25","BARNSLEY",2016,5,5,0,15,8,29,0,2,1,0,2,1,10,0,"47","9","17",14,"12269",51967,23.6092135393615,"Yorkshire and The Humber",18.5,1518.33333333333,97.5,7,12.27,2.3,19.1489361702128,-17,86,-0.551698216417207,16,-0.670214952301552,-0.522069032446121,2,1,10,16,2,1,"3197471",NA,NA,0,0,0,0,0,0
"26","BARNSLEY",2017,5,5,4,15,8,29,0,2,1,0,2,1,10,0,"58","11","16",7.2,"13846",51998,26.6279472287396,"Yorkshire and The Humber",19.5675,1518.33333333333,98,5.3,12.95,2.3,18.9655172413793,-16,92.8,-0.522069032446121,16,-0.551698216417207,-0.699844136272638,2,1,10,16,2,1,"3443752",NA,NA,0,0,0,0,0,0
"27","BARNSLEY",2018,5,5,0,15,8,29,0,2,1,0,2,1,10,0,"45","9","22",5.2,"12741",52019,24.4929737211404,"Yorkshire and The Humber",21,1518.33333333333,98.5,5.4,12.95,3.3,20,-22,94.8,-0.699844136272638,16,-0.522069032446121,-0.433181480532862,2,1,10,16,2,1,"4068675","c","c",0,0,0,0,0,0
"28","BARNSLEY",2019,6,5,0,15,8,29,0,3,1,0,2,1,10,0,"58","11","13",7,"14998",52156,28.7560395735869,"Yorkshire and The Humber",21.4995,1518.33333333333,98.2,5.3,13.7,3.5,18.9655172413793,-13,93,-0.433181480532862,17,-0.699844136272638,-0.492439848475035,2,1,10,16,2,1,"4918891","c","c",1,0,0,0,0,1
"29","BARNSLEY",2020,10,5,0,15,8,29,0,4,1,0,2,1,10,0,"47","9","15",11.6,"13184",52353,25.1828930529292,"Yorkshire and The Humber",22.9995,1518.33333333333,97.9,4.2,13.85,6.5,19.1489361702128,-15,88.4,-0.492439848475035,18,-0.433181480532862,-0.492439848475035,2,1,10,17,3,1,"5323443","c","c",1,0,0,0,0,1
