"","URN","Provider type","Ofsted Region","Government Office Region","Local authority","Sector","Places","Date","leave_join"
"1","SC464759","Children's home","East Midlands","East Midlands","Derbyshire","Private",4,2014-04-11,"Join"
"2","SC465634","Children's home","North West","North West","Cumberland","Private",2,2014-05-13,"Join"
"3","SC471153","Children's home","East of England","East of England","Essex","Private",2,2014-04-24,"Join"
"4","SC471672","Children's home","West Midlands","West Midlands","Birmingham","Private",4,2014-05-21,"Join"
"5","SC472114","Children's home","North West","North West","Sefton","Private",2,2014-04-29,"Join"
"6","SC473475","Children's home","North West","North West","Sefton","Private",5,2014-07-18,"Join"
"7","SC474041","Children's home","West Midlands","West Midlands","Shropshire","Private",2,2014-04-30,"Join"
"8","SC474050","Children's home","West Midlands","West Midlands","Shropshire","Private",1,2014-05-21,"Join"
"9","SC474179","Children's home","West Midlands","West Midlands","Staffordshire","Private",4,2014-04-29,"Join"
"10","SC474338","Children's home","West Midlands","West Midlands","Shropshire","Private",3,2014-08-19,"Join"
"11","SC474585","Children's home","London","London","Richmond upon Thames","Local Authority",2,2014-04-04,"Join"
"12","SC474724","Children's home","West Midlands","West Midlands","Wolverhampton","Private",4,2014-07-30,"Join"
"13","SC474863","Children's home","South East","South East","Oxfordshire","Private",5,2014-05-14,"Join"
"14","SC474894","Children's home","North East, Yorkshire and the Humber","North East","Northumberland","Private",3,2014-05-13,"Join"
"15","SC475088","Children's home","East of England","East of England","Essex","Private",4,2014-09-03,"Join"
"16","SC475121","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","Barnsley","Private",5,2014-04-10,"Join"
"17","SC475223","Residential special school (registered as a children's home)","South East","South East","Kent","Private",54,2014-04-11,"Join"
"18","SC475335","Children's home","East Midlands","East Midlands","Nottinghamshire","Private",4,2014-06-13,"Join"
"19","SC475347","Children's home","West Midlands","West Midlands","Staffordshire","Private",2,2014-04-14,"Join"
"20","SC475578","Children's home","West Midlands","West Midlands","Telford and Wrekin","Private",3,2014-05-15,"Join"
"21","SC475680","Children's home","North West","North West","Lancashire","Private",8,2014-05-08,"Join"
"22","SC475697","Children's home","North West","North West","Lancashire","Private",7,2014-05-08,"Join"
"23","SC475703","Children's home","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Private",8,2014-05-08,"Join"
"24","SC475706","Children's home","North East, Yorkshire and the Humber","North East","Durham","Private",7,2014-05-28,"Join"
"25","SC475710","Children's home","North East, Yorkshire and the Humber","North East","Durham","Private",8,2014-06-03,"Join"
"26","SC475715","Children's home","North West","North West","Lancashire","Private",7,2014-05-08,"Join"
"27","SC475723","Children's home","North West","North West","Lancashire","Private",9,2014-12-18,"Join"
"28","SC475742","Children's home","North West","North West","Lancashire","Private",9,2014-06-30,"Join"
"29","SC475748","Children's home","North West","North West","Lancashire","Private",7,2014-06-30,"Join"
"30","SC476069","Children's home","London","London","Croydon","Private",5,2014-07-23,"Join"
"31","SC476083","Children's home","North West","North West","Westmorland and Furness","Private",3,2015-03-12,"Join"
"32","SC476185","Residential special school (registered as a children's home)","East Midlands","East Midlands","Lincolnshire","Private",14,2014-06-27,"Join"
"33","SC476220","Children's home","North West","North West","Sefton","Local Authority",4,2014-04-10,"Join"
"34","SC476236","Children's home","West Midlands","West Midlands","Shropshire","Private",4,2014-04-24,"Join"
"35","SC476249","Children's home","West Midlands","West Midlands","Warwickshire","Private",5,2014-06-30,"Join"
"36","SC476259","Children's home","West Midlands","West Midlands","Shropshire","Private",4,2014-06-20,"Join"
"37","SC476261","Children's home","West Midlands","West Midlands","Shropshire","Private",2,2014-08-01,"Join"
"38","SC476286","Children's home","East Midlands","East Midlands","Leicestershire","Private",5,2014-05-09,"Join"
"39","SC476289","Children's home","East Midlands","East Midlands","Derbyshire","Private",5,2015-01-15,"Join"
"40","SC476303","Children's home","North East, Yorkshire and the Humber","North East","Gateshead","Private",3,2014-05-08,"Join"
"41","SC476332","Children's home","East Midlands","East Midlands","Derbyshire","Private",6,2014-04-28,"Join"
