"Table 12: House Price per area, 2004- 2016 by local authority (excluding flats)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Region code,Region name,LA code,LA name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E12000001,North East,E06000001,Hartlepool,1096,1397,1551,1611,1449,1374,1457,1260,1212,1125,1067,1061,944
E12000001,North East,E06000002,Middlesbrough,1177,1663,1825,1761,1690,1526,1427,1408,1443,1320,1327,1403,1274
E12000001,North East,E06000003,Redcar and Cleveland,1142,1442,1457,1633,1817,1512,1470,1511,1353,1235,1364,1240,1303
E12000001,North East,E06000004,Stockton-on-Tees,1282,1584,1781,1835,1652,1682,1756,1609,1580,1473,1422,1450,1388
E12000001,North East,E06000005,Darlington,1548,1703,1886,1958,1938,1669,1831,1604,1428,1490,1543,1443,1527
E12000001,North East,E06000047,County Durham,1286,1555,1641,1674,1683,1549,1526,1398,1345,1225,1171,1184,1190
E12000001,North East,E06000057,Northumberland,1478,1657,1830,1894,1814,1717,1675,1618,1568,1476,1510,1558,1589
E12000001,North East,E08000021,Newcastle upon Tyne,1872,1984,2218,2227,2126,1895,1870,1781,1781,1744,1782,1901,1949
E12000001,North East,E08000022,North Tyneside,1657,1797,1892,1974,1817,1761,1730,1640,1694,1656,1732,1784,1839
E12000001,North East,E08000023,South Tyneside,1279,1475,1627,1750,1610,1501,1476,1446,1392,1355,1350,1409,1437
E12000001,North East,E08000024,Sunderland,1336,1518,1618,1597,1502,1452,1422,1408,1329,1278,1303,1245,1257
E12000001,North East,E08000037,Gateshead,1450,1709,1752,1843,1693,1654,1581,1499,1555,1624,1519,1485,1566
E12000002,North West,E06000006,Halton,1636,1851,1917,2154,2116,1761,1709,1521,1615,1564,1452,1400,1692
E12000002,North West,E06000007,Warrington,2129,2364,2482,2553,2376,2110,2137,2093,1991,2052,2157,2146,2093
E12000002,North West,E06000008,Blackburn with Darwen,1246,1449,1584,1747,1663,1574,1338,1341,1235,1198,1218,1220,1340
E12000002,North West,E06000009,Blackpool,1612,1811,1794,1876,1802,1576,1499,1367,1382,1295,1270,1333,1299
E12000002,North West,E06000049,Cheshire East,2171,2408,2468,2534,2436,2220,2318,2141,2167,2177,2302,2286,2447
E12000002,North West,E06000050,Cheshire West and Chester,2125,2430,2306,2401,2279,2176,2097,2116,2041,2024,2121,2178,2182
E12000002,North West,E07000026,Allerdale,1158,1489,1625,1699,1550,1622,1718,1433,1349,1508,1459,1394,1493
E12000002,North West,E07000027,Barrow-in-Furness,876,964,1166,1282,1396,1249,1214,1160,1314,1139,1116,1160,1223
E12000002,North West,E07000028,Carlisle,1294,1474,1582,1615,1609,1423,1428,1426,1416,1338,1353,1347,1446
E12000002,North West,E07000029,Copeland,927,999,1197,1361,1416,1166,1094,1084,1081,1015,989,1152,1138
E12000002,North West,E07000030,Eden,1763,1854,2055,2033,2039,2449,2024,2011,1715,1798,1970,2057,2065
E12000002,North West,E07000031,South Lakeland,2046,2298,2396,2592,2427,2255,2267,2267,2105,2093,2192,2145,2166
E12000002,North West,E07000117,Burnley,836,1147,1318,1493,1295,1137,1079,1210,947,865,1077,951,925
E12000002,North West,E07000118,Chorley,1618,2018,2190,2254,2462,1949,1826,1936,2075,1911,1911,2086,1712
E12000002,North West,E07000119,Fylde,1950,2105,2397,2559,2347,2084,2052,1972,1896,1987,1989,1941,1999
E12000002,North West,E07000120,Hyndburn,631,1228,1383,1208,1310,1253,1196,1109,1006,888,887,986,1003
E12000002,North West,E07000121,Lancaster,1864,1964,1959,2061,2038,2021,1964,1854,1818,1772,1889,1877,1844
E12000002,North West,E07000122,Pendle,1021,1147,1567,1533,1612,1336,1275,1060,1182,1202,1254,1215,1130
E12000002,North West,E07000123,Preston,1503,1807,1861,2139,1909,1788,1628,1538,1501,1479,1537,1528,1529
E12000002,North West,E07000124,Ribble Valley,1815,2323,2187,2119,2159,2050,2012,1947,1908,2089,2053,2065,1733
E12000002,North West,E07000125,Rossendale,1576,1421,1656,1951,1585,1384,1353,1604,1499,1344,1218,1234,1370
E12000002,North West,E07000126,South Ribble,2039,2360,2406,2434,2309,2171,2014,1758,1899,1755,1892,1920,1883
E12000002,North West,E07000127,West Lancashire,1580,1706,1676,1752,1603,1746,1649,1752,1666,1735,1648,1600,1692
E12000002,North West,E07000128,Wyre,1808,2006,2107,2173,2088,1979,1810,1606,1563,1469,1593,1661,1753
E12000002,North West,E08000001,Bolton,1408,1796,1942,2090,1975,1751,1644,1641,1685,1746,1595,1595,1550
E12000002,North West,E08000002,Bury,1605,2024,2148,2179,1959,1704,1720,1846,1572,1601,1631,1716,1764
E12000002,North West,E08000003,Manchester,1800,2163,2493,2608,2470,2237,2214,2170,2127,2150,2212,2361,2578
E12000002,North West,E08000004,Oldham,1333,1660,1886,2075,1970,1618,1733,1553,1444,1544,1583,1514,1648
E12000002,North West,E08000005,Rochdale,1552,1828,1946,1976,1964,1753,1675,1462,1424,1378,1425,1558,1596
E12000002,North West,E08000006,Salford,1940,2217,2303,2431,2390,2120,1995,1928,1791,1748,1883,1898,2130
E12000002,North West,E08000007,Stockport,2174,2501,2508,2568,2465,2322,2289,2183,2203,2209,2307,2536,2576
E12000002,North West,E08000008,Tameside,1814,2015,2104,2272,2252,1960,1863,1938,1797,1713,1808,1735,1842
E12000002,North West,E08000009,Trafford,2413,2701,2601,2725,2528,2307,2502,2357,2322,2402,2453,2742,2991
E12000002,North West,E08000010,Wigan,1508,1683,1896,2026,1949,1588,1574,1524,1378,1338,1334,1373,1469
E12000002,North West,E08000011,Knowsley,1293,1655,1894,1748,1729,1525,1420,1570,1229,1393,1408,1262,1240
E12000002,North West,E08000012,Liverpool,1483,1714,1814,1813,1640,1617,1599,1499,1371,1469,1391,1416,1436
