"","URN","reqs_per","recs_per"
"1","1027158",2.2,2.4
"2","1027164",0.2,1.4
"3","1155757",2,1.2
"4","1155761",2.6,1.4
"5","1155768",1,0.75
"6","1155775",1.4,2.4
"7","1155780",1.6,0.2
"8","1156098",3,1
"9","1156103",1.5,0.5
"10","1159258",2.75,1.5
"11","1159272",1,2.5
"12","1159385",4.6,1.8
"13","1159397",2.5,1.66666666666667
"14","1159682",2.16666666666667,2.83333333333333
"15","1159755",0.6,2.4
"16","1159763",1.6,0.8
"17","1159868",2.8,0.4
"18","1159884",1.75,2.5
"19","1159903",0.5,2
"20","1164089",4,3
"21","1164379",6.5,4
"22","1179497",2.5,2
"23","1183069",2.75,0.5
"24","1183070",2,2
"25","1183136",0.4,1.6
"26","1183173",0,0.25
"27","1183197",1,1
"28","1183479",3.25,2.75
"29","1183494",6.33333333333333,5.33333333333333
"30","1183574",3.8,1.8
"31","1183605",1.25,1.25
"32","1183618",2,3.5
"33","1183621",7.4,2.8
"34","1183799",3.25,3
"35","1183826",2,2
"36","1183936",5.2,3.4
"37","1183937",2,2
"38","1184093",2,1.25
"39","1185488",1.75,3
"40","1185539",19,2
"41","1185765",4.5,0.5
"42","1185768",8,2
"43","1185828",0.75,1
"44","1205501",7.2,1.4
"45","1211772",0.5,1.75
"46","1212094",2.25,2.25
"47","1212117",0.5,1
"48","1212704",2,1.75
"49","1212708",1.5,3
"50","1213416",0.75,2.25
"51","1213828",2.8,1
"52","1214266",0.25,0.25
"53","1214270",0.75,3
"54","1214396",1,1.5
"55","1214688",13.5,5
"56","1215521",0,0
"57","1216505",3.25,2
"58","1216657",2,1.75
"59","1220818",8,2
"60","1220887",1.75,1.5
"61","1221357",4,2.5
"62","1221437",2,1.5
"63","1221700",0.25,4
"64","1222089",2.75,0.5
"65","1223201",1.5,1
"66","1223491",5,1
"67","1223501",0.75,1
"68","1223681",2,1
"69","1224093",6,3.25
"70","1224251",0.666666666666667,1.66666666666667
"71","1224663",0,1.5
"72","1224674",2.66666666666667,1.5
"73","1225136",2.5,3.75
"74","1225371",2.6,2
"75","1225887",4.2,2
"76","1226266",2.5,0.75
"77","1226397",3.33333333333333,0.333333333333333
"78","1226495",1.25,1.25
"79","1226612",3.25,3.75
"80","1226757",4,3.5
"81","1226969",2.75,2.25
"82","1226975",0.5,1
"83","1226977",1.5,2.5
"84","1226978",0.75,0.75
"85","1227330",4.4,2
"86","1227335",4,3.2
"87","1227596",0.75,0.75
"88","1227788",1,1.25
"89","1227869",3.33333333333333,1
"90","1228090",5.25,0.75
"91","1228091",6,1
"92","1228092",2,1.75
"93","1228191",3.5,1.25
"94","1228522",3.8,1.4
"95","1228919",0.25,1.25
"96","1228921",1,2
"97","1229229",1.25,0.75
"98","1229417",0.6,0.4
"99","1229534",6.5,1.33333333333333
"100","1229762",0.75,2
"101","1229977",5.8,3.2
"102","1230268",1.66666666666667,4.66666666666667
"103","1230411",7.33333333333333,3.66666666666667
"104","1230415",8.5,4.75
"105","1230416",1.25,3.25
"106","1230725",2.33333333333333,3
"107","1230940",0,0
"108","1231066",2.25,0.5
"109","1231067",2.25,0.5
"110","1231311",7.25,1.5
"111","1231399",1.25,1.75
"112","1231404",0.666666666666667,1
"113","1231405",1,2.5
"114","1231458",3,2.75
"115","1231525",1.25,2
"116","1231812",5.66666666666667,2.33333333333333
"117","1232171",5,0.666666666666667
"118","1232200",3.75,1
"119","1232271",2,2.5
"120","1232380",1.5,2.25
"121","1232649",0.75,1.75
"122","1232650",5.8,1
"123","1232657",4.33333333333333,0.333333333333333
"124","1232658",3,3
"125","1233003",5,2
"126","1233307",0,2.5
"127","1233310",2.75,4
"128","1233899",6.25,2
"129","1233981",2.25,1
"130","1234163",6.4,2.4
"131","1234166",4.25,2.25
"132","1234243",1.6,1.4
"133","1234244",0.75,0.75
"134","1234317",4.25,2.25
"135","1234319",2.25,2.5
"136","1234323",4,0.333333333333333
"137","1234374",4,0.25
"138","1234430",0.25,0.75
"139","1234432",3,2.5
"140","1234621",2,1
"141","1234624",4.8,0.6
"142","1234626",9,2
"143","1234990",3,1
"144","1235263",0,3
"145","1235384",2.25,1.25
"146","1235576",1.25,1.75
"147","1235653",9,3.25
"148","1235654",3,0.2
"149","1235818",2.6,0.8
"150","1236026",1.5,2
"151","1236278",7,0
"152","1236387",1.75,1.75
"153","1236450",0,0.25
"154","1236532",1.5,3
"155","1236540",1.25,1
"156","1236620",3.6,3
"157","1236625",2.4,0.6
"158","1236771",4.33333333333333,5
"159","1236773",1,0.333333333333333
"160","1236832",3.8,2.2
"161","1236916",7,1
"162","1237027",5.16666666666667,1.33333333333333
"163","1237090",1.5,5
"164","1237582",0.666666666666667,2.33333333333333
"165","1238043",3,3.5
"166","1239948",3.75,0.75
"167","1239953",4.4,1.6
"168","1240269",8.5,2
"169","1240397",2,2
"170","1240433",1.5,1.75
"171","1240449",4,2.5
"172","1240572",0,2
"173","1240573",1,0.666666666666667
"174","1240753",3,1
"175","1240754",3,0.5
"176","1240801",2.25,2.75
"177","1240802",1.75,2
"178","1240803",3,2.25
"179","1240840",1.5,1.25
"180","1240842",6,1.5
"181","1240843",2.5,3
"182","1240844",1,2
"183","1240883",4,2.8
"184","1240884",0.666666666666667,1.66666666666667
"185","1240936",5.66666666666667,1
"186","1241023",3.25,2.5
"187","1241261",1,1.33333333333333
"188","1241263",0,2
"189","1241407",11,5.5
"190","1241632",2,3.33333333333333
"191","1241634",1.8,3.4
"192","1241656",9,4
"193","1241752",0,0.333333333333333
"194","1241757",2.25,1.5
"195","1241776",0.666666666666667,0.333333333333333
"196","1241782",3.5,2.75
"197","1241785",4.5,3.5
"198","1241789",1.5,2.75
"199","1241836",4,2.33333333333333
"200","1241840",5,2
"201","1241843",3,4
"202","1241855",2.66666666666667,2
"203","1241861",7.5,2.5
"204","1241897",4.33333333333333,1.66666666666667
"205","1241939",0.666666666666667,1.33333333333333
"206","1241970",0.5,0
"207","1241975",1.5,4.5
"208","1242111",5,3.5
"209","1242116",2.66666666666667,2.33333333333333
"210","1242216",1.75,2.25
"211","1243962",7,4
"212","1243966",13.5,3.5
"213","1244000",0.25,1
"214","1244108",2,5
"215","1244117",2.33333333333333,0
"216","1244137",1.33333333333333,0.333333333333333
"217","1244160",1.66666666666667,2.33333333333333
"218","1244161",1.75,3
"219","1244280",1.5,1.25
"220","1244283",1,0.333333333333333
"221","1244287",1.25,2.75
"222","1244350",3.25,0.5
"223","1244384",2,4
"224","1244386",4.33333333333333,5.33333333333333
"225","1244413",8.25,0.75
"226","1244426",3.5,5
"227","1244460",1.33333333333333,2.66666666666667
"228","1244493",1.66666666666667,2
"229","1244527",0.666666666666667,1.66666666666667
"230","1244835",2,0
"231","1244881",2.33333333333333,2.66666666666667
"232","1244946",6,1.66666666666667
"233","1245390",3.25,0.5
"234","1245565",1,0
"235","1245569",4.5,1.75
"236","1245572",4.5,1.25
"237","1245823",4,1
"238","1245829",0.333333333333333,0.666666666666667
"239","1245979",1,4.66666666666667
"240","1245980",4.66666666666667,2
"241","1245981",5.66666666666667,3.33333333333333
"242","1245982",2.75,2.25
"243","1245984",11.3333333333333,1.33333333333333
"244","1246331",0.666666666666667,2
"245","1246449",2.66666666666667,5
"246","1246521",3.33333333333333,3
"247","1246831",5.25,1.5
"248","1246834",2.33333333333333,2.33333333333333
"249","1247144",1.33333333333333,2
"250","1247212",10.5,8
"251","1247244",0.333333333333333,1.66666666666667
"252","1247384",0,3.66666666666667
"253","1247386",5,0
"254","1247390",6,1.5
"255","1247491",3,2
"256","1247559",2.66666666666667,1.66666666666667
"257","1247560",1,0.5
"258","1247670",0,0
"259","1247764",2,1
"260","1247765",2.5,0.5
"261","1247773",1.66666666666667,3.33333333333333
"262","1247776",6.33333333333333,1.66666666666667
"263","1247885",1,0
"264","1248043",2,1.66666666666667
"265","1248071",3.33333333333333,1.33333333333333
"266","1248509",1.66666666666667,0.666666666666667
"267","1248773",0.666666666666667,1
"268","1248979",3.33333333333333,3
"269","1249031",2.33333333333333,2.33333333333333
"270","1249034",6,0
"271","1249035",0.666666666666667,3
"272","1249111",3,3
"273","1249115",2,0.333333333333333
"274","1249117",2,0
"275","1249123",1.66666666666667,0.333333333333333
"276","1249183",4,2.5
"277","1249184",5.66666666666667,2
"278","1249196",2,0.666666666666667
"279","1249259",1.33333333333333,2.66666666666667
"280","1249264",0.75,0.75
"281","1249326",3.33333333333333,0
"282","1249715",4.25,0.75
"283","1249787",0.25,1
"284","1250035",3,2.33333333333333
"285","1250039",1.33333333333333,0
"286","1250186",1.66666666666667,2
"287","1250194",2,0.25
"288","1250196",2,1
"289","1250253",7.33333333333333,2
"290","1250287",7.75,1.5
"291","1250521",2.33333333333333,1.33333333333333
"292","1250842",1.33333333333333,2
"293","1250902",2.33333333333333,1.66666666666667
"294","1250915",0.333333333333333,1
"295","1250931",0,1.33333333333333
"296","1251073",0,0.333333333333333
"297","1251076",1,2.33333333333333
"298","1251364",5.5,1.5
"299","1251947",5.66666666666667,1
"300","1252023",1.33333333333333,4
"301","1252095",0,0.333333333333333
"302","1252120",3.66666666666667,3.33333333333333
"303","1252125",6,6
"304","1252937",3,1.33333333333333
"305","1252997",0.666666666666667,1
"306","1253008",1,0.666666666666667
"307","1253501",0.333333333333333,1
"308","1253583",11,0.333333333333333
"309","1253623",8.2,1.2
"310","1253711",13.3333333333333,2.33333333333333
"311","1253716",0.333333333333333,3
"312","1253862",7.5,2.5
"313","1253865",4,1
"314","1253975",0,3.66666666666667
"315","1254055",0.666666666666667,1
"316","1254109",13,3
"317","1254258",1,0.333333333333333
"318","1254308",1,2.66666666666667
"319","1254316",8.5,5.5
"320","1254371",1,0.5
"321","1254555",2.33333333333333,0.666666666666667
"322","1254701",3,3
"323","1254740",2.33333333333333,0.333333333333333
"324","1254745",3.25,0.75
"325","1254780",12,3
"326","1254782",1.33333333333333,2.66666666666667
"327","1254835",1.33333333333333,2
"328","1254837",5,2.8
"329","1254838",3,6
"330","1254840",2,2
"331","1254841",0,0.666666666666667
"332","1254843",0.5,0.25
"333","1254864",0.666666666666667,0.333333333333333
"334","1255095",6.66666666666667,3.33333333333333
"335","1255139",0,1.33333333333333
"336","1255147",2.33333333333333,1
"337","1255407",4.33333333333333,0.666666666666667
"338","1255520",1.66666666666667,1
"339","1255743",0,1
"340","1255744",3,1.5
"341","1255745",0,0
"342","1255746",0.666666666666667,1.33333333333333
"343","1255747",2.66666666666667,1.66666666666667
"344","1255748",4,0.75
"345","1255796",1,3
"346","1255800",0,4
"347","1255823",1.33333333333333,1.33333333333333
"348","1256058",0.333333333333333,1.33333333333333
"349","1256059",0.333333333333333,0.666666666666667
"350","1256060",0.666666666666667,1.33333333333333
"351","1256061",0.333333333333333,0.333333333333333
"352","1256134",4.33333333333333,3.33333333333333
"353","1256135",3.33333333333333,1
"354","1256364",5,5
"355","1256367",2.66666666666667,1.33333333333333
"356","1256404",0.666666666666667,1.66666666666667
"357","1256417",0.333333333333333,2.33333333333333
"358","1256452",5.5,1.25
"359","1256500",0.333333333333333,0.333333333333333
"360","1256608",1,2.33333333333333
"361","1256610",2.33333333333333,2
"362","1256638",4.5,4
"363","1256639",2.66666666666667,0.666666666666667
"364","1256658",4.33333333333333,4
"365","1256660",3.66666666666667,4.66666666666667
"366","1256771",2,1
"367","1256794",4.33333333333333,1.66666666666667
"368","1256795",3,2
"369","1256904",1.66666666666667,1
"370","1256912",18,4
"371","1256913",8,2
