year,DH_GEOGRAPHY_NAME,percent_inhouse_activity,life_expectancy_Female,population_over_80,total_population,total_activity,treatment_year,g,treated,post,rel_year
2002,BARNSLEY,24.195470798569726,5.84,8844,218851,43628,2012,2012,0,0,-10
2002,BIRMINGHAM,33.310842858383495,6.49,38711,990384,149693,NA,0,0,0,NA
2002,BOLTON,28.355582263810792,5.85,10195,262367,46594,2016,2016,0,0,-14
2002,BRADFORD,27.389052769583742,6.06,17672,475184,76275,NA,0,0,0,NA
2002,BURY,37.817883511074655,5.76,6980,181084,31694,NA,0,0,0,NA
2002,CALDERDALE,26.683308595331262,6.06,8417,193201,29644,NA,0,0,0,NA
2002,DUDLEY,27.00128522904618,5.81,12643,305645,43572,2018,2018,0,0,-16
2002,GATESHEAD,30.79037307903731,5.98,7899,191559,41841,NA,0,0,0,NA
2002,KIRKLEES,33.630067722857234,5.85,15415,392118,65266,NA,0,0,0,NA
2002,KNOWSLEY,0,5.59,4459,150506,19617,2002,2002,1,1,0
2002,LEEDS,39.628780805251395,6.53,29757,716380,106029,NA,0,0,0,NA
2002,LIVERPOOL,14.548735957021139,5.54,16024,443784,71477,NA,0,0,0,NA
2002,MANCHESTER,2.1541568495456076,6.23,14726,428221,77246,NA,0,0,0,NA
2002,NEWCASTLE UPON TYNE,10.303743735173988,5.95,11324,267001,56067,2015,2015,0,0,-13
2002,NORTH TYNESIDE,16.33662233007486,5.86,8811,192739,43681,2015,2015,0,0,-13
2002,OLDHAM,13.931176991523635,5.9,8369,218455,47426,2015,2015,0,0,-13
2002,ROTHERHAM,26.67398463227223,6.09,9909,249610,47372,NA,0,0,0,NA
2002,SALFORD,24.017137096774192,5.76,9328,216310,43648,2015,2015,0,0,-13
2002,SANDWELL,33.29525985151342,5.72,12167,285637,45526,NA,0,0,0,NA
2002,SEFTON,13.468304295615901,5.93,13981,280866,47467,2008,2008,0,0,-6
2002,SHEFFIELD,24.300744162176034,6.26,23968,514201,101322,2014,2014,0,0,-12
2002,SOLIHULL,15.114137411396996,6.37,8461,200028,17917,NA,0,0,0,NA
2002,SOUTH TYNESIDE,33.191330576199505,6.19,6728,152210,32159,2017,2017,0,0,-15
2002,ST HELENS,44.91841694150321,5.96,6529,176295,23044,NA,0,0,0,NA
2002,STOCKPORT,0,6.31,12443,283502,49662.1428571429,NA,0,0,0,NA
2002,SUNDERLAND,16.17528075342244,5.45,9741,283037,61798,2015,2015,0,0,-13
2002,TRAFFORD,48.44983173005331,6.23,9263,211062,33577,2015,2015,0,0,-13
2002,WAKEFIELD,23.009188926090353,6.14,12202,316306,67799,NA,0,0,0,NA
2002,WALSALL,36.71502700413004,6.42,9830,254287,37772,NA,0,0,0,NA
2002,WIGAN,3.6194529142079976,5.5,10672,302305,45587,NA,0,0,0,NA
2002,WIRRAL,14.44040799217549,6.12,15596,315050,42942,2017,2017,0,0,-15
2002,WOLVERHAMPTON,24.209743399033098,6.47,10416,239088,37646,NA,0,0,0,NA
2002,BUCKINGHAMSHIRE,0.05271133952691573,6.34,NA,NA,45531,2004,2004,0,0,-2
2002,CAMBRIDGESHIRE,20.484120731342877,6.45,NA,NA,73618,NA,0,0,0,NA
2002,DERBYSHIRE,39.111568852569725,6.01,NA,NA,118456,NA,0,0,0,NA
2002,DEVON,23.84195809975069,6.57,NA,NA,145202,NA,0,0,0,NA
2002,DORSET,28.496920708237106,6.49,NA,NA,51960,2017,2017,0,0,-15
2002,DURHAM,34.250309092952676,6.01,19889,493538,106764,2016,2016,0,0,-14
2002,EAST SUSSEX,17.95734408505502,6.55,NA,NA,77879,NA,0,0,0,NA
2002,ESSEX,30.793669879206053,6.29,NA,NA,216236,2020,2020,0,0,-18
2002,GLOUCESTERSHIRE,2.614990862188849,6.24,NA,NA,70664.00000000045,NA,0,0,0,NA
2002,HAMPSHIRE,34.08877485377955,6.31,NA,NA,135241,NA,0,0,0,NA
2002,HERTFORDSHIRE,0,6.04,NA,NA,128076,2002,2002,1,1,0
2002,KENT,13.04822728270646,6.18,NA,NA,220777.72999999998,NA,0,0,0,NA
2002,LANCASHIRE,24.548046014192426,5.96,NA,NA,247315,NA,0,0,0,NA
2002,LEICESTERSHIRE,28.659658789391084,6.11,NA,NA,88567,2021,2021,0,0,-19
2002,LINCOLNSHIRE,15.23630712431861,6.35,NA,NA,126763,2013,2013,0,0,-11
2002,NORFOLK,26.71739480896341,6.42,NA,NA,155075,2012,2012,0,0,-10
2002,NORTH YORKSHIRE,51.40515495122122,6.46,NA,NA,85898,NA,0,0,0,NA
2002,NORTHUMBERLAND,19.06390032895589,6.02,13733,308499,77214,NA,0,0,0,NA
2002,NOTTINGHAMSHIRE,26.117757947065172,5.89,NA,NA,131558,2021,2021,0,0,-19
2002,OXFORDSHIRE,49.56881324938179,6.53,NA,NA,48123,2006,2006,0,0,-4
2002,SHROPSHIRE,5.1442653249820305,5.98,13895,284901,48695,2017,2017,0,0,-15
2002,STAFFORDSHIRE,37.84937021861582,5.87,NA,NA,112023,NA,0,0,0,NA
2002,SUFFOLK,38.06463075604607,6.32,NA,NA,95682,2014,2014,0,0,-12
2002,SURREY,24.597815977126324,6.39,NA,NA,116116,NA,0,0,0,NA
2002,WARWICKSHIRE,28.817340347606045,6.02,NA,NA,60068,2014,2014,0,0,-12
2002,WILTSHIRE,3.7505714166978352,6.16,20010,438386,48126,2013,2013,0,0,-11
